,loss,mae,mse,root_mean_squared_error,val_loss,val_mae,val_mse,val_root_mean_squared_error
381,0.004062498454004526,0.04816552624106407,0.004062498454004526,0.06373773515224457,0.0041415090672671795,0.04226066172122955,0.0041415090672671795,0.0643545612692833
382,0.00408070208504796,0.0477503165602684,0.00408070208504796,0.06388037651777267,0.00406403373926878,0.041091255843639374,0.00406403373926878,0.0637497752904892
383,0.004117809236049652,0.0486750453710556,0.004117809236049652,0.06417015939950943,0.004175886977463961,0.042757537215948105,0.004175886977463961,0.06462110579013824
384,0.0040460010059177876,0.047825951129198074,0.0040460010059177876,0.06360818445682526,0.004046257585287094,0.04081397131085396,0.004046257585287094,0.06361020356416702
385,0.004078492522239685,0.047755565494298935,0.004078492522239685,0.06386307626962662,0.004076187498867512,0.04131096228957176,0.004076187498867512,0.06384502351284027
386,0.004056941252201796,0.04786676913499832,0.004056941252201796,0.06369411945343018,0.00416115578263998,0.04256507009267807,0.00416115578263998,0.06450702250003815
387,0.004086195956915617,0.04799390956759453,0.004086195956915617,0.06392336636781693,0.004115328658372164,0.04187691584229469,0.004115328658372164,0.06415082514286041
388,0.004047786816954613,0.04779959097504616,0.004047786816954613,0.06362222135066986,0.004210631363093853,0.043198373168706894,0.004210631363093853,0.06488937139511108
389,0.004069365561008453,0.048039503395557404,0.004069365561008453,0.06379158049821854,0.00415125722065568,0.04237716645002365,0.00415125722065568,0.06443025171756744
390,0.004082617349922657,0.04830942302942276,0.004082617349922657,0.06389535963535309,0.004089923109859228,0.04147052392363548,0.004089923109859228,0.0639525055885315
391,0.004095399286597967,0.04757644236087799,0.004095399286597967,0.06399530917406082,0.0040841130539774895,0.041389595717191696,0.0040841130539774895,0.06390706449747086
392,0.004082017578184605,0.04846637323498726,0.004082017578184605,0.06389066576957703,0.004210325889289379,0.04321704059839249,0.004210325889289379,0.06488702446222305
393,0.004058260936290026,0.0479591004550457,0.004058260936290026,0.0637044832110405,0.004112183582037687,0.0418114960193634,0.004112183582037687,0.06412631273269653
394,0.004082310013473034,0.04771306365728378,0.004082310013473034,0.06389295309782028,0.004053574055433273,0.040886007249355316,0.004053574055433273,0.06366768479347229
