,loss,mae,mse,root_mean_squared_error,val_loss,val_mae,val_mse,val_root_mean_squared_error
0,0.218463733792305,0.44669926166534424,0.218463733792305,0.46740102767944336,0.18041129410266876,0.40552130341529846,0.18041129410266876,0.4247485101222992
1,0.12777289748191833,0.33581510186195374,0.12777289748191833,0.3574533462524414,0.09838227927684784,0.292117178440094,0.09838227927684784,0.3136594891548157
2,0.0640837624669075,0.22558452188968658,0.0640837624669075,0.2531477212905884,0.04572645574808121,0.1879492998123169,0.04572645574808121,0.21383745968341827
3,0.028132930397987366,0.1388026922941208,0.028132930397987366,0.1677287369966507,0.01976856030523777,0.11248880624771118,0.01976856030523777,0.14060071110725403
4,0.015218192711472511,0.09882116317749023,0.015218192711472511,0.12336204200983047,0.011272277683019638,0.08712498843669891,0.011272277683019638,0.10617098212242126
5,0.011542018502950668,0.08635768294334412,0.011542018502950668,0.10743378847837448,0.0076702795922756195,0.06851234287023544,0.0076702795922756195,0.0875801295042038
6,0.008306876756250858,0.06997013837099075,0.008306876756250858,0.09114206582307816,0.005555254407227039,0.05559708923101425,0.005555254407227039,0.07453358173370361
7,0.00642091641202569,0.06266143172979355,0.00642091641202569,0.08013062179088593,0.005886920727789402,0.060623589903116226,0.005886920727789402,0.0767262727022171
8,0.006315238308161497,0.06371388584375381,0.006315238308161497,0.07946847379207611,0.006645685527473688,0.06590196490287781,0.006645685527473688,0.08152107894420624
9,0.006355987396091223,0.06405599415302277,0.006355987396091223,0.07972444593906403,0.0063206772319972515,0.06368517130613327,0.0063206772319972515,0.07950268685817719
10,0.0062134750187397,0.06303131580352783,0.006213474087417126,0.07882559299468994,0.005780021194368601,0.059551917016506195,0.005780021194368601,0.07602645456790924
11,0.006130629684776068,0.061987802386283875,0.006130629684776068,0.07829833775758743,0.005513788666576147,0.057150665670633316,0.005513788666576147,0.07425489276647568
12,0.0060625215992331505,0.061510756611824036,0.0060625215992331505,0.0778621956706047,0.005566470790654421,0.05783781781792641,0.005566470790654421,0.07460878044366837
