POTENCIA(K+1),POTENCIA(K+2),previsto K+1 relu,previsto K+2 relu,previsto K+1 sigmoid,previsto K+2 sigmoid
16.7000007629395,16.8999996185303,16.38576,16.539423,16.293098,16.4285
19.6000003814697,19.2000007629395,19.589441,19.557512,19.461807,19.48145
19.8999996185303,19.7000007629395,19.763887,19.772673,19.911636,19.9083
20.0,18.6000003814697,18.599895,18.635704,18.51012,18.582975
18.6000003814697,18.1000003814697,18.403225,18.428877,18.302752,18.379255
23.3999996185303,23.0,22.78053,22.64004,22.400969,22.230854
22.2999992370605,21.8999996185303,22.572031,22.468464,22.297186,22.134073
18.5,18.5,18.260721,18.279852,18.011053,18.104052
18.5,17.5,17.433563,17.566956,17.417547,17.530666
20.2000007629395,19.3999996185303,19.064734,19.022116,19.026405,19.069468
19.6000003814697,21.8999996185303,22.147415,22.129765,22.07672,21.935297
20.2999992370605,20.3999996185303,20.363321,20.275633,20.175299,20.151941
13.6999998092651,13.3000001907349,15.066844,15.29277,14.841435,14.99158
19.8999996185303,19.7000007629395,19.763887,19.772673,19.911636,19.9083
18.7999992370605,19.3999996185303,19.591022,19.648129,19.296724,19.335903
13.1000003814697,13.3999996185303,14.372982,14.563285,14.28714,14.418492
23.7999992370605,24.1000003814697,23.36035,23.168232,22.87945,22.67154
20.7999992370605,20.2000007629395,19.574396,19.630491,19.5403,19.575705
18.2000007629395,18.5,17.848314,17.988638,17.800894,17.899374
18.5,18.6000003814697,18.754776,18.834843,18.577925,18.654995
18.1000003814697,19.25,18.527552,18.566717,18.48709,18.555582
22.0,22.7000007629395,21.969128,21.86601,21.88048,21.742632
20.5,21.2999992370605,20.311499,20.299335,20.197355,20.170315
23.3999996185303,23.3999996185303,22.500635,22.347578,22.196354,22.036255
21.2999992370605,22.2000007629395,22.042418,21.907349,21.80689,21.665976
23.7999992370605,23.7999992370605,23.22523,23.05455,22.773832,22.572805
22.7000007629395,18.5,22.920046,22.722288,22.574722,22.389421
18.1000003814697,18.1000003814697,17.06767,17.119991,16.89556,17.017683
17.1000003814697,17.2999992370605,17.0041,17.10269,16.774029,16.89876
22.7000007629395,22.2000007629395,22.008795,21.900167,21.860945,21.726225
15.378947634446,15.1789475240205,16.469011,16.579023,16.148958,16.293665
22.8999996185303,22.2999992370605,22.175322,22.124905,22.172335,22.017332
16.5,16.2999992370605,17.215912,17.381006,17.149567,17.275528
18.3999996185303,19.1000003814697,19.11512,19.183588,19.023966,19.077633
17.928947574214,17.0268415651823,18.437939,18.36958,18.22663,18.302086
17.3999996185303,18.5,17.347591,17.431114,17.126047,17.24538
23.7999992370605,24.0,22.879097,22.710058,22.467762,22.286596
21.1000003814697,21.0,20.819532,20.7502,20.883595,20.814508
18.6000003814697,19.7000007629395,19.088074,19.14285,19.15693,19.190248
20.1000003814697,21.2999992370605,20.07616,20.05138,20.13139,20.113506
15.3000001907349,15.3999996185303,15.164161,15.329716,15.014624,15.154227
21.8999996185303,20.3999996185303,20.430483,20.565876,20.4555,20.440525
16.7000007629395,17.1000003814697,15.960474,16.16459,15.8525305,16.000713
21.7000007629395,20.2999992370605,21.145563,21.00645,21.161375,21.070803
19.0,19.8999996185303,19.554026,19.537128,19.529142,19.54393
20.7999992370605,20.6000003814697,20.583284,20.529802,20.687603,20.630465
17.5,18.2000007629395,18.395426,18.356058,18.134535,18.221556
