TEMPO,POTENCIA(K+1),POTENCIA(K+2)
2013-10-13,19.3999996185303,20.7000007629395
2013-08-04,18.3999996185303,18.6000003814697
2009-06-21,16.8999996185303,18.5
2008-05-18,15.6999998092651,16.0
2008-04-13,16.3999996185303,16.1000003814697
2013-04-28,19.5,20.7999992370605
2012-08-26,19.2999992370605,18.3999996185303
2009-12-13,21.3999996185303,18.7999992370605
2009-05-24,19.2999992370605,19.6000003814697
2012-09-09,19.7000007629395,19.6000003814697
2008-10-19,15.6999998092651,16.5
2008-05-25,16.0,14.6000003814697
2009-02-22,15.8000001907349,16.7000007629395
2011-01-16,21.7999992370605,21.2999992370605
2013-06-02,21.2999992370605,18.7000007629395
2009-05-17,20.3999996185303,19.2999992370605
2010-03-21,22.8999996185303,22.8999996185303
2009-05-31,19.6000003814697,19.0
2008-09-07,14.8000001907349,15.1000003814697
2011-08-07,18.6000003814697,18.6000003814697
2011-02-06,23.2000007629395,22.3999996185303
2012-08-19,19.2999992370605,19.2999992370605
2010-06-20,20.6000003814697,19.8873679512425
2008-06-08,14.6000003814697,13.6999998092651
2013-01-13,21.7999992370605,21.2999992370605
2009-12-06,21.3999996185303,21.3999996185303
2010-10-03,19.7999992370605,20.5
2010-08-15,19.5,19.2999992370605
2009-09-27,19.5,20.3999996185303
2013-01-27,22.2000007629395,23.2000007629395
2011-01-02,19.7999992370605,21.7000007629395
2010-06-27,19.8873679512425,19.8999996185303
2013-02-03,23.2000007629395,22.3999996185303
2012-01-01,20.6000003814697,20.2999992370605
2013-11-24,20.7000007629395,20.7000007629395
2013-09-15,19.0,18.7999992370605
2011-06-12,19.8999996185303,20.2000007629395
2011-10-16,22.2000007629395,22.2999992370605
2012-04-08,23.0,22.7000007629395
2013-09-08,18.2000007629395,19.0
2010-07-25,18.2000007629395,18.5
2008-10-26,16.5,16.2999992370605
2012-10-21,21.1000003814697,22.0
2011-06-26,19.1000003814697,18.7999992370605
2010-10-31,22.0,21.6000003814697
2010-03-28,22.8999996185303,23.3999996185303
2011-06-19,20.2000007629395,19.1000003814697
2010-05-02,22.3999996185303,22.8999996185303
2013-07-21,18.2000007629395,18.2999992370605
2013-06-09,18.7000007629395,19.0
2012-10-14,21.2999992370605,21.1000003814697
2011-08-21,19.7000007629395,21.1000003814697
2012-07-22,18.2000007629395,18.5
2008-02-17,17.0,17.1000003814697
2010-04-18,22.7000007629395,23.8999996185303
2011-10-23,22.2999992370605,23.1000003814697
2011-08-28,21.1000003814697,19.7999992370605
2010-05-23,21.8999996185303,21.7999992370605
2012-05-06,22.8999996185303,22.2999992370605
2013-03-17,23.7999992370605,21.7000007629395
2010-07-11,19.7000007629395,18.7000007629395
2009-07-05,17.5,18.5
2008-08-24,14.3000001907349,14.6000003814697
2009-09-06,19.6000003814697,19.0
2012-12-30,19.7999992370605,21.7000007629395
2010-02-21,22.8999996185303,23.3999996185303
2013-08-25,19.25,21.2000007629395
2011-04-03,24.1000003814697,22.0
2010-08-22,19.2999992370605,19.2999992370605
2013-06-30,18.7999992370605,17.2000007629395
2012-06-17,20.6000003814697,19.8873679512425
2009-05-03,16.7999992370605,20.3999996185303
2012-02-05,22.5,21.4588140294453
2009-09-20,19.8999996185303,19.5
2012-05-27,21.7999992370605,21.5
2011-02-20,22.8999996185303,23.0
2008-04-27,15.6999998092651,16.7999992370605
2008-10-05,14.6999998092651,15.3000001907349
2008-08-17,14.0,14.3000001907349
2011-05-08,19.8999996185303,21.3999996185303
2010-10-24,21.1000003814697,22.0
2012-12-16,19.7999992370605,19.2000007629395
2010-08-08,18.6000003814697,19.5
2011-07-17,19.1000003814697,18.2000007629395
2009-01-25,16.7000007629395,16.5
2009-11-29,21.2999992370605,21.3999996185303
2012-04-15,22.7000007629395,23.8999996185303
2011-07-03,18.7999992370605,18.3999996185303
2012-07-15,18.7000007629395,18.2000007629395
2008-11-16,16.6000003814697,16.7000007629395
2009-10-18,20.5,20.7999992370605
2012-06-24,19.8873679512425,19.8999996185303
2010-09-12,19.7000007629395,19.6000003814697
2008-08-03,13.3999996185303,14.0
2013-11-10,20.5,20.3999996185303
2010-10-17,21.2999992370605,21.1000003814697
2012-02-19,22.8999996185303,23.3999996185303
2008-02-03,16.2999992370605,16.7000007629395
2013-09-01,21.2000007629395,18.2000007629395
2013-06-16,19.0,17.7999992370605
2010-01-03,20.6000003814697,20.2999992370605
2011-10-09,21.7000007629395,22.2000007629395
2013-03-03,23.0,23.8999996185303
2010-01-24,21.5,22.2000007629395
2011-05-15,21.3999996185303,21.3999996185303
2009-12-20,18.7999992370605,18.5
2008-10-12,15.3000001907349,15.6999998092651
2009-04-05,18.1000003814697,17.1000003814697
2010-12-19,19.7999992370605,19.2000007629395
2012-11-11,22.2999992370605,22.0
2012-03-04,23.3999996185303,22.7999992370605
2012-12-23,19.2000007629395,19.7999992370605
2008-04-20,16.1000003814697,15.6999998092651
2013-12-01,20.7000007629395,20.7999992370605
2011-12-04,23.3999996185303,23.3999996185303
2013-05-12,20.2000007629395,20.1000003814697
2008-08-10,14.0,14.0
2012-07-08,19.7000007629395,18.7000007629395
2008-03-02,17.2999992370605,17.3999996185303
2010-06-06,21.5,19.2000007629395
2008-09-14,15.1000003814697,15.3000001907349
2012-04-22,23.8999996185303,22.3999996185303
2011-03-13,23.8999996185303,23.7999992370605
2012-04-29,22.3999996185303,22.8999996185303
2013-03-10,23.8999996185303,23.7999992370605
2010-09-26,19.2000007629395,19.7999992370605
2009-04-12,17.1000003814697,16.5
