Time,Untitled,Untitled 1,Untitled 2,Untitled 3,Untitled 4,Untitled 5,Untitled 6,Untitled 7,Untitled 8,Untitled 9,Untitled 10,Untitled 11,Untitled 12
20/03/2024 11:13:28,58,0,"0,568836","0,747908","-0,499707","-0,935614","9,837888","6,647061","3,153896","3,024125","-8,656088","0,889127","5230,102645"
20/03/2024 11:13:37,58,0,"0,541531","0,746805","-0,368525","-0,950143","9,978446","6,641179","3,123951","3,007054","-8,642219","0,88582","5206,022823"
20/03/2024 11:13:37,58,0,"0,591668","0,721599","-0,52191","-0,949402","9,833661","6,659898","3,131819","3,014684","-8,665206","0,842703","3633,67381"
20/03/2024 11:13:37,58,0,"0,585034","0,697417","-0,349136","-0,94108","9,948124","6,467347","3,189775","3,036191","-8,638751","0,894232","5065,633708"
20/03/2024 11:13:38,58,0,"0,589585","0,795011","-0,446546","-0,929584","10,077731","6,421224","3,111912","3,010781","-8,642765","0,904826","2948,699466"
20/03/2024 11:13:38,58,0,"0,569839","0,786662","-0,424344","-0,932123","10,164734","6,964485","3,158745","3,028241","-8,666394","0,849573","3462,331037"
20/03/2024 11:13:38,58,0,"0,601772","0,743733","-0,41379","-0,948485","9,802674","6,586822","3,153997","3,026644","-8,66633","0,928745","5710,849679"
20/03/2024 11:13:38,58,0,"0,565597","0,781148","-0,360238","-0,933216","10,01326","6,630245","3,153896","3,030371","-8,631496","0,912339","5819,424584"
20/03/2024 11:13:38,58,0,"0,581718","0,779573","-0,409568","-0,946828","9,913842","6,490979","3,15827","3,010426","-8,640228","0,848032","4379,730139"
20/03/2024 11:13:38,58,0,"0,613497","0,727664","-0,378062","-0,967211","9,775149","6,625366","3,190453","3,011916","-8,668673","0,933978","2908,0905"
20/03/2024 11:13:38,58,0,"0,562743","0,753658","-0,39362","-0,93244","9,71617","6,783317","3,19693","3,035339","-8,665559","0,89863","4664,15489"
20/03/2024 11:13:39,58,0,"0,54801","0,774059","-0,44209","-0,928702","9,909049","6,58087","3,140873","2,995059","-8,644306","0,862415","2880,024219"
20/03/2024 11:13:39,58,0,"0,560737","0,720496","-0,479146","-0,943407","9,918335","6,732697","3,187672","3,016175","-8,650213","0,87484","5806,080327"
