Time,Frequencia CMB,Untitled 1,CV-1,CV-2,CV-3,PT-1,PT-2,PT-3,PT-4,PT-5,FT-1,FT-2,Untitled 12
20/03/2024 10:27:28,40,0,"0,470337","0,762953","-0,48845","-0,959312","6,7685","4,127013","3,088004","2,957511","-8,666009","0,854935","4776,152026"
20/03/2024 10:27:39,40,0,"0,570225","0,726562","-0,488919","-0,978319","6,831372","4,130334","3,08363","2,954814","-8,666426","0,83519","3714,221286"
20/03/2024 10:27:39,40,0,"0,554181","0,72286","-0,527851","-0,982727","6,713282","4,266902","3,08736","2,978202","-8,627386","0,821449","4445,362329"
20/03/2024 10:27:39,40,0,"0,531041","0,756494","-0,384082","-0,979589","6,693312","4,160506","3,098314","2,935437","-8,666908","0,873331","4016,488828"
20/03/2024 10:27:39,40,0,"0,558501","0,721757","-0,495407","-0,986853","6,811103","4,149884","3,084715","2,955347","-8,662092","0,844244","4551,789779"
20/03/2024 10:27:39,40,0,"0,546545","0,721442","-0,335533","-0,974123","6,763474","4,147738","3,09438","2,941861","-8,669893","0,840744","3796,201843"
20/03/2024 10:27:40,40,0,"0,546468","0,776895","-0,315911","-0,985654","6,80814","4,186525","3,084647","2,958576","-8,670921","0,794769","3762,207546"
20/03/2024 10:27:40,40,0,"0,583723","0,714983","-0,437321","-0,967599","6,823917","4,24199","3,089836","2,968832","-8,669123","0,857182","4605,415734"
20/03/2024 10:27:40,40,0,"0,54184","0,739243","-0,419497","-0,975533","6,802083","4,147808","3,090785","2,953075","-8,664853","0,848032","4818,066137"
20/03/2024 10:27:40,40,0,"0,547856","0,701198","-0,443888","-0,994223","6,79749","4,068573","3,093193","2,976285","-8,64803","0,836827","3560,200111"
20/03/2024 10:27:40,40,0,"0,64057","0,757912","-0,505101","-0,973876","6,722135","4,16016","3,081798","2,978485","-8,627643","0,845624","3718,051334"
20/03/2024 10:27:40,40,0,"0,575624","0,815885","-0,486417","-0,987206","6,747664","4,025911","3,081188","2,962657","-8,640132","0,85182","4253,54257"
20/03/2024 10:27:40,40,0,"0,550864","0,73625","-0,377906","-0,980999","6,777553","4,040616","3,093905","2,944061","-8,664564","0,876221","3868,738039"
20/03/2024 10:27:41,40,0,"0,617199","0,766419","-0,501505","-0,981458","6,694377","4,192027","3,083969","2,966242","-8,670728","0,8384","3845,246959"
20/03/2024 10:27:41,40,0,"0,599381","0,736171","-0,516203","-0,944289","6,773359","4,267283","3,100721","2,969471","-8,640999","0,867937","3804,480917"
20/03/2024 10:27:41,40,0,"0,513609","0,77784","-0,471016","-0,962062","6,844886","4,2104","3,098415","2,965532","-8,641898","0,824756","3969,72064"
20/03/2024 10:27:41,40,0,"0,604703","0,715455","-0,391509","-0,978778","6,741806","4,194899","3,09031","2,969826","-8,666073","0,824274","3849,122311"
20/03/2024 10:27:41,40,0,"0,572539","0,746254","-0,362974","-0,997785","6,80408","4,192234","3,080476","2,963474","-8,646585","0,838529","3457,869999"
20/03/2024 10:27:41,40,0,"0,595139","0,695212","-0,466247","-0,981916","6,710852","4,197355","3,099501","2,960173","-8,643824","0,838433","3608,731511"
20/03/2024 10:27:41,40,0,"0,617199","0,76697","-0,556933","-0,965659","6,780315","4,208393","3,091769","2,959783","-8,640517","0,83397","3494,34905"
20/03/2024 10:27:42,40,0,"0,552793","0,742552","-0,478912","-0,932722","6,824117","4,258702","3,09655","2,957795","-8,660037","0,817372","4422,822979"
20/03/2024 10:27:42,40,0,"0,54346","0,733021","-0,488606","-0,959488","6,791831","4,14023","3,08597","2,972985","-8,626487","0,855769","3756,571447"
