Time,Frequencia CMB,Untitled 1,CV-1,CV-2,CV-3,PT-1,PT-2,PT-3,PT-4,PT-5,FT-1,FT-2,
20/03/2024 14:15:21,50,0,"-0,406899","-0,28774","-0,485088","-0,945347","8,520486","5,584968","3,205103","3,081191","-8,64758","0,946467","3541,900846"
20/03/2024 14:15:21,50,0,"-0,468992","-0,302234","-0,467263","-0,95173","8,6454","5,548776","3,22857","3,092193","-8,643375","0,945921","4422,305629"
20/03/2024 14:15:21,50,0,"-0,409059","-0,304045","-0,424265","-0,941256","8,576902","5,739113","3,23776","3,082575","-8,645622","0,984158","3810,279184"
20/03/2024 14:15:22,50,0,"-0,47362","-0,329251","-0,435132","-0,935649","8,516992","5,559917","3,228197","3,088679","-8,65612","0,941523","3778,724866"
20/03/2024 14:15:22,50,0,"-0,462975","-0,344611","-0,454208","-0,949861","8,493959","5,548499","3,218464","3,088821","-8,689574","0,959148","4221,778322"
20/03/2024 14:15:22,50,0,"-0,438447","-0,32933","-0,491655","-0,922002","8,71696","5,785546","3,226569","3,099575","-8,646874","0,962584","4433,507466"
20/03/2024 14:15:22,50,0,"-0,45989","-0,32295","-0,502053","-0,94316","8,526611","5,69434","3,221449","3,09709","-8,654162","0,927621","4226,230956"
20/03/2024 14:15:22,50,0,"-0,491823","-0,328621","-0,462807","-0,940022","8,594509","5,715827","3,211546","3,088786","-8,662959","0,956612","3876,35916"
20/03/2024 14:15:22,50,0,"-0,477168","-0,289237","-0,39534","-0,929619","8,621802","5,679981","3,243186","3,085166","-8,691211","0,941651","4105,623108"
20/03/2024 14:15:23,50,0,"-0,466061","-0,35556","-0,542705","-0,954868","8,563056","5,569709","3,23871","3,091838","-8,663697","0,952888","3845,338265"
20/03/2024 14:15:23,50,0,"-0,46259","-0,344217","-0,487511","-0,949297","8,423464","5,400514","3,252444","3,104649","-8,672943","0,950063","4963,789628"
20/03/2024 14:15:23,50,0,"-0,472231","-0,274428","-0,370557","-0,949861","8,642205","5,832845","3,235624","3,105359","-8,645076","0,990836","3827,813561"
20/03/2024 14:15:23,50,0,"-0,486269","-0,331457","-0,402297","-0,94845","8,764622","5,571612","3,234098","3,063021","-8,660069","0,986085","4959,140998"
20/03/2024 14:15:23,50,0,"-0,433742","-0,306566","-0,588048","-0,95776","8,490531","5,743196","3,237387","3,081723","-8,644338","0,949356","4204,901181"
20/03/2024 14:15:23,50,0,"-0,419858","-0,314364","-0,539734","-0,940974","8,617342","5,600538","3,233725","3,09528","-8,631014","0,967175","3764,765239"
20/03/2024 14:15:23,50,0,"-0,414381","-0,302549","-0,400108","-0,940445","8,673558","5,480371","3,218973","3,080233","-8,655863","0,939147","3830,68392"
20/03/2024 14:15:24,50,0,"-0,425566","-0,315782","-0,500567","-0,946616","8,494292","5,614967","3,214327","3,081049","-8,645205","0,969968","4159,737596"
20/03/2024 14:15:24,50,0,"-0,500925","-0,291521","-0,451628","-0,950037","8,611218","5,765063","3,22328","3,073454","-8,672462","0,922773","4303,353384"
