Time,Frequencia CMB,Untitled 1,CV-1,CV-2,CV-3,PT-1,PT-2,PT-3,PT-4,PT-5,FT-1,FT-2,Untitled 12
23/04/2024 12:57:42,38,0,"-0,475317","-0,281439","-0,4571","-0,929337","6,367032","3,86104","3,197269","3,044389","-8,65795","0,915871","4430,599708"
24/04/2024 12:57:42,38,0,"-0,486115","-0,290891","-0,419575","-0,932193","6,357679","3,898893","3,213615","3,071148","-8,631785","0,937638","4047,088875"
25/04/2024 12:57:42,38,0,"-0,47871","-0,346108","-0,506196","-0,890793","6,425212","3,938026","3,21253","3,069267","-8,669861","0,902483","4320,52347"
26/04/2024 12:57:42,38,0,"-0,4693","-0,320902","-0,527069","-0,961815","6,354251","3,814226","3,211275","3,064653","-8,666233","0,886783","4072,766406"
27/04/2024 12:57:42,38,0,"-0,534709","-0,326179","-0,410897","-0,928385","6,391096","3,869102","3,213852","3,060217","-8,636504","0,938505","4343,660666"
28/04/2024 12:57:42,38,0,"-0,496991","-0,332166","-0,443654","-0,913785","6,296604","3,831076","3,205239","3,076258","-8,662413","0,932437","5094,069266"
29/04/2024 12:57:42,38,0,"-0,491515","-0,291442","-0,492749","-0,878732","6,317439","3,966052","3,223415","3,072567","-8,665174","0,901616","4681,006857"
30/04/2024 12:57:42,38,0,"-0,403968","-0,349258","-0,513545","-0,952929","6,369961","3,934462","3,214598","3,072922","-8,657083","0,910894","3975,490166"
20/03/2024 12:57:41,38,0,"-0,506016","-0,346265","-0,51847","-0,917735","6,353619","3,98702","3,214429","3,063198","-8,654932","0,931313","4428,213204"
20/03/2024 12:57:42,38,0,"-0,511261","-0,322241","-0,529962","-0,862475","6,436428","4,114937","3,205442","3,060536","-8,658817","0,857022","4284,743773"
20/03/2024 12:57:42,38,0,"-0,466755","-0,325943","-0,525741","-0,931276","6,320368","3,944081","3,200491","3,060324","-8,644723","0,938762","4817,389145"
20/03/2024 12:57:42,38,0,"-0,468992","-0,354851","-0,562953","-0,945065","6,329321","3,742015","3,203577","3,076507","-8,649378","0,902354","5111,281635"
20/03/2024 12:57:42,38,0,"-0,461741","-0,313891","-0,359065","-0,874536","6,452771","3,898512","3,221483","3,07931","-8,664339","0,890315","4332,786965"
20/03/2024 12:57:42,38,0,"-0,44778","-0,353354","-0,37775","-0,919639","6,342668","3,893149","3,201576","3,070012","-8,653135","0,8846","3981,081603"
20/03/2024 12:57:42,38,0,"-0,448551","-0,371944","-0,546301","-0,922707","6,450308","3,94114","3,20473","3,065611","-8,665078","0,946948","4287,856319"
20/03/2024 12:57:42,38,0,"-0,499768","-0,319169","-0,575071","-0,911705","6,375819","3,90429","3,202593","3,047263","-8,662991","0,933207","4983,710587"
20/03/2024 12:57:43,38,0,"-0,491515","-0,328227","-0,505414","-0,923977","6,441654","4,041758","3,214022","3,054184","-8,626872","0,885242","4623,683776"
20/03/2024 12:57:43,38,0,"-0,461355","-0,389351","-0,497909","-0,923024","6,39479","3,972522","3,206086","3,070686","-8,638784","0,955232","4001,744642"
20/03/2024 12:57:43,38,0,"-0,498071","-0,336655","-0,428018","-0,968163","6,372923","3,805749","3,185197","3,084776","-8,64254","0,936065","4858,982617"
20/03/2024 12:57:43,38,0,"-0,474314","-0,320587","-0,400108","-0,853024","6,412997","4,041515","3,205205","3,069551","-8,622089","0,869414","4280,329861"
20/03/2024 12:57:43,38,0,"-0,48141","-0,329409","-0,256886","-0,91844","6,406673","3,952316","3,192182","3,05752","-8,651722","0,930029","4060,66836"
20/03/2024 12:57:43,38,0,"-0,516891","-0,284196","-0,446233","-0,905216","6,408337","3,967021","3,194387","3,067634","-8,65429","0,941747","3931,777056"
20/03/2024 12:57:44,38,0,"-0,486964","-0,355954","-0,335768","-0,877392","6,512315","4,086807","3,191131","3,071112","-8,658849","0,946306","3974,931361"
20/03/2024 12:57:44,38,0,"-0,513498","-0,348707","-0,382128","-0,907261","6,39925","3,999407","3,188554","3,046447","-8,64331","0,904923","4403,078365"
20/03/2024 12:57:44,38,0,"-0,520208","-0,279627","-0,40175","-0,887866","6,387501","4,071894","3,207511","3,053403","-8,645911","0,916384","4328,627721"
20/03/2024 12:57:44,38,0,"-0,48303","-0,35296","-0,439432","-0,926022","6,390297","4,029301","3,192115","3,069089","-8,647291","0,886205","4730,278888"
20/03/2024 12:57:44,38,0,"-0,507327","-0,341224","-0,453973","-0,893543","6,409369","3,932455","3,207205","3,077074","-8,668802","0,936643","4386,914728"
20/03/2024 12:57:44,38,0,"-0,505476","-0,352488","-0,350544","-0,910259","6,394824","3,872908","3,20924","3,059649","-8,658785","0,889159","5088,106456"
20/03/2024 12:57:44,38,0,"-0,522985","-0,329094","-0,487355","-0,931453","6,389931","3,949721","3,202153","3,056491","-8,659138","0,937959","4711,03773"
20/03/2024 12:57:45,38,0,"-0,470226","-0,291127","-0,554432","-0,942138","6,452704","3,966329","3,196014","3,076471","-8,642187","0,922259","3973,441884"
20/03/2024 12:57:45,38,0,"-0,500076","-0,288922","-0,433178","-0,923201","6,355982","3,919376","3,204221","3,066889","-8,652717","0,882674","3955,055307"
20/03/2024 12:57:45,38,0,"-0,464209","-0,340673","-0,45366","-0,923377","6,483525","3,993974","3,214904","3,076755","-8,642861","0,877119","4955,306722"
20/03/2024 12:57:45,38,0,"-0,487658","-0,325864","-0,517454","-0,950954","6,356681","3,930517","3,198931","3,071787","-8,677117","0,938986","4015,360232"
20/03/2024 12:57:45,38,0,"-0,497994","-0,328463","-0,498456","-0,903523","6,416857","3,875122","3,209037","3,06696","-8,64315","0,937959","3994,158936"
20/03/2024 12:57:45,38,0,"-0,482567","-0,273247","-0,522301","-0,887513","6,429971","3,877786","3,205171","3,066676","-8,669283","0,923191","4331,873615"
20/03/2024 12:57:45,38,0,"-0,466986","-0,331457","-0,420826","-0,928455","6,33448","3,823464","3,212496","3,085059","-8,643503","0,891759","3997,903244"
20/03/2024 12:57:46,38,0,"-0,477631","-0,293254","-0,51331","-0,884198","6,354517","3,953803","3,183806","3,083995","-8,644948","0,89131","4667,101793"
20/03/2024 12:57:46,38,0,"-0,480099","-0,326258","-0,533793","-0,825765","6,469446","4,037744","3,218668","3,061672","-8,647323","0,9212","4003,244848"
20/03/2024 12:57:46,38,0,"-0,491977","-0,355323","-0,444201","-0,908919","6,319436","3,872423","3,197676","3,063021","-8,646938","0,896222","4369,582167"
20/03/2024 12:57:46,38,0,"-0,456882","-0,336498","-0,504398","-0,94704","6,288183","3,892595","3,201508","3,066747","-8,655318","0,945761","4513,03714"
