Time,Untitled,Untitled 1,Untitled 2,Untitled 3,Untitled 4,Untitled 5,Untitled 6,Untitled 7,Untitled 8,Untitled 9,Untitled 10,Untitled 11,Untitled 12
20/03/2024 09:41:21,30,0,"-0,33154","0,761299","-0,417542","-0,499956","5,068902","2,873062","3,060535","2,916308","-8,673907","0,823343","4296,301212"
20/03/2024 09:41:59,30,0,"-0,366096","0,783905","-0,479772","-0,365457","5,033189","2,83642","3,049514","2,932137","-8,650438","0,820614","4274,517744"
20/03/2024 09:41:59,30,0,"-0,379903","0,759881","-0,348433","-0,296304","5,024834","2,880674","3,074677","2,934372","-8,658625","0,871148","4035,916648"
20/03/2024 09:41:59,30,0,"-0,354217","0,725695","-0,453113","-0,518364","5,024801","2,84936","3,056364","2,932101","-8,665495","0,832622","4037,051308"
20/03/2024 09:41:59,30,0,"-0,391936","0,675283","-0,451237","-0,474636","5,009524","2,849222","3,038221","2,939838","-8,658207","0,814996","4172,911082"
20/03/2024 09:41:59,30,0,"-0,3988","0,769333","-0,466091","-0,419024","4,961429","2,839292","3,065792","2,935118","-8,65108","0,85349","3996,310517"
20/03/2024 09:41:59,30,0,"-0,36571","0,714195","-0,454755","-0,459331","5,015116","2,857595","3,064028","2,939483","-8,662509","0,85731","4342,13411"
20/03/2024 09:42:00,30,0,"-0,375275","0,71388","-0,345853","-0,369372","5,028496","2,858599","3,064944","2,93054","-8,665238","0,814097","4133,800065"
20/03/2024 09:42:00,30,0,"-0,343727","0,733887","-0,461478","-0,330933","5,063843","2,843409","3,064028","2,952827","-8,656859","0,820903","4163,830286"
20/03/2024 09:42:00,30,0,"-0,365325","0,744285","-0,50346","-0,527709","5,028396","2,811473","3,059857","2,948355","-8,655831","0,791912","4132,05738"
20/03/2024 09:42:00,30,0,"-0,347121","0,723726","-0,4288","-0,484228","5,031624","2,854516","3,083969","2,928978","-8,640453","0,768796","4142,330193"
20/03/2024 09:42:00,30,0,"-0,352289","0,75673","-0,470547","-0,318168","5,045304","2,868598","3,043342","2,922661","-8,6671","0,832589","4140,292995"
20/03/2024 09:42:00,30,0,"-0,339253","0,739086","-0,439823","-0,259276","5,051761","2,881885","3,061417","2,947574","-8,678851","0,861388","4036,011196"
20/03/2024 09:42:01,30,0,"-0,349589","0,77658","-0,415275","-0,425125","5,047101","2,894548","3,069522","2,946581","-8,628189","0,842446","3933,71079"
20/03/2024 09:42:01,30,0,"-0,338096","0,76248","-0,447797","-0,508525","5,019376","2,859256","3,049039","2,941044","-8,640581","0,818174","4163,245055"
20/03/2024 09:42:01,30,0,"-0,355606","0,758778","-0,457569","-0,521503","5,03229","2,854135","3,035407","2,93565","-8,674902","0,804786","4148,44784"
20/03/2024 09:42:01,30,0,"-0,363319","0,750665","-0,374701","-0,394797","4,938064","2,821403","3,069183","2,944203","-8,641769","0,806167","4128,671"
20/03/2024 09:42:01,30,0,"-0,300301","0,778549","-0,481726","-0,299054","4,998041","2,897628","3,071252","2,924329","-8,630404","0,785748","3965,25869"
20/03/2024 09:42:01,30,0,"-0,341722","0,718606","-0,494626","-0,309316","5,0701","2,850987","3,064944","2,947645","-8,663023","0,834612","4013,008444"
20/03/2024 09:42:01,30,0,"-0,394327","0,794854","-0,449517","-0,310233","5,056088","2,93074","3,041409","2,930043","-8,653167","0,837887","4282,535592"
20/03/2024 09:42:02,30,0,"-0,367484","0,726247","-0,448032","-0,435034","5,066073","2,899358","3,071218","2,937886","-8,641737","0,846491","4371,424219"
20/03/2024 09:42:02,30,0,"-0,368641","0,751059","-0,523239","-0,556626","4,996477","2,813065","3,055347","2,954956","-8,644338","0,81034","4277,42242"
20/03/2024 09:42:02,30,0,"-0,39101","0,741528","-0,414415","-0,300359","5,046968","2,802857","3,055923","2,936431","-8,650406","0,773997","4106,582923"
20/03/2024 09:42:02,30,0,"-0,34257","0,740582","-0,423406","-0,382384","4,967087","2,805349","3,053889","2,935011","-8,662573","0,840873","4280,529686"
20/03/2024 09:42:02,30,0,"-0,374812","0,710099","-0,332484","-0,500203","5,093598","2,891227","3,048632","2,949384","-8,652878","0,819105","4377,777732"
20/03/2024 09:42:02,30,0,"-0,319199","0,751059","-0,407223","-0,442687","5,012686","2,864238","3,057653","2,942074","-8,677374","0,818431","4281,331937"
20/03/2024 09:42:02,30,0,"-0,329689","0,706397","-0,404408","-0,527216","5,08581","2,883442","3,07132","2,937566","-8,65734","0,826586","4304,965055"
20/03/2024 09:42:03,30,0,"-0,351826","0,704506","-0,329514","-0,399664","4,988988","2,910326","3,055618","2,93274","-8,658721","0,809666","3992,848399"
20/03/2024 09:42:03,30,0,"-0,355529","0,773035","-0,39448","-0,295951","5,046302","2,912333","3,063621","2,905413","-8,630051","0,874776","4020,064962"
20/03/2024 09:42:03,30,0,"-0,390161","0,735305","-0,477114","-0,428263","5,025899","2,899946","3,05555","2,934479","-8,645237","0,82482","4291,272196"
20/03/2024 09:42:03,30,0,"-0,396641","0,726168","-0,470625","-0,476541","5,074727","2,933993","3,070234","2,933379","-8,655992","0,803791","4085,187121"
20/03/2024 09:42:03,30,0,"-0,393093","0,753658","-0,424813","-0,497029","5,040977","2,848876","3,063554","2,925571","-8,662477","0,839685","4064,474"
