Time,Untitled,Untitled 1,Untitled 2,Untitled 3,Untitled 4,Untitled 5,Untitled 6,Untitled 7,Untitled 8,Untitled 9,Untitled 10,Untitled 11,Untitled 12
20/03/2024 09:57:55,35,0,"0,578401","0,739007","-0,383613","0,379329","4,034911","2,16455","3,068403","2,954779","-8,648929","0,814707","4156,618714"
20/03/2024 09:57:55,35,0,"0,535592","0,769175","-0,286359","0,304463","4,119685","2,376789","3,07722","2,9458","-8,648062","0,840744","4306,982383"
20/03/2024 09:57:55,35,0,"0,533509","0,705767","-0,470625","0,188337","4,129204","2,438412","3,072337","2,942074","-8,67564","0,84145","4041,971883"
20/03/2024 09:57:55,35,0,"0,545388","0,722544","-0,478208","0,203359","4,064534","2,393847","3,075898","2,93022","-8,659941","0,860682","4294,188368"
20/03/2024 09:57:55,35,0,"0,55287","0,729161","-0,49572","0,352845","3,953866","2,370768","3,075999","2,945587","-8,684566","0,860296","4283,137595"
20/03/2024 09:57:56,35,0,"0,51708","0,764922","-0,461791","0,475249","3,99547","2,228907","3,067454","2,948888","-8,62424","0,805942","4268,614127"
20/03/2024 09:57:56,35,0,"0,53027","0,695921","-0,439823","0,464035","4,006687","2,103688","3,084545","2,945516","-8,64071","0,859879","4141,554029"
20/03/2024 09:57:56,35,0,"0,513069","0,748853","-0,401907","0,374357","3,927971","2,232367","3,079018","2,949668","-8,658143","0,808446","4188,776724"
20/03/2024 09:57:56,35,0,"0,550942","0,753579","-0,314113","0,269939","4,095854","2,431284","3,089157","2,936005","-8,6671","0,847679","3960,988334"
20/03/2024 09:57:56,35,0,"0,570379","0,750586","-0,394949","0,200468","3,976166","2,220153","3,073897","2,943919","-8,659523","0,872817","4363,240092"
20/03/2024 09:57:56,35,0,"0,618202","0,741528","-0,375013","0,263803","4,086401","2,300322","3,070641","2,956624","-8,661931","0,886847","4250,553933"
20/03/2024 09:57:56,35,0,"0,605321","0,760117","-0,436461","0,395128","4,004523","2,310391","3,068674","2,941115","-8,647227","0,847807","4154,963771"
20/03/2024 09:57:57,35,0,"0,575547","0,767206","-0,431536","0,471828","3,957494","2,21389","3,076576","2,934053","-8,65657","0,86341","3981,173988"
20/03/2024 09:57:57,35,0,"0,569068","0,714825","-0,464371","0,397561","4,045396","2,071579","3,077424","2,937602","-8,651208","0,824242","3978,75002"
20/03/2024 09:57:57,35,0,"0,554413","0,73885","-0,489075","0,306402","4,072755","2,200085","3,083426","2,955382","-8,688418","0,800548","4356,499543"
20/03/2024 09:57:57,35,0,"0,612263","0,691431","-0,406832","0,220216","4,091394","2,243335","3,078204","2,941932","-8,683506","0,854004","4204,308618"
20/03/2024 09:57:57,35,0,"0,574544","0,703876","-0,435836","0,247546","4,026058","2,270116","3,081561","2,93494","-8,651433","0,829893","4055,344198"
20/03/2024 09:57:57,35,0,"0,592671","0,744915","-0,443106","0,373299","4,04007","2,26503","3,075016","2,945516","-8,681805","0,7992","4235,049583"
20/03/2024 09:57:58,35,0,"0,578941","0,74775","-0,472658","0,414312","4,068994","2,172612","3,071455","2,947042","-8,649603","0,849059","4021,948858"
20/03/2024 09:57:58,35,0,"0,57817","0,731603","-0,464293","0,415017","3,945112","2,13815","3,074643","2,912369","-8,663376","0,856829","4257,429695"
20/03/2024 09:57:58,35,0,"0,5639","0,77209","-0,385489","0,381269","4,00915","2,210638","3,063655","2,942606","-8,65917","0,847615","3998,838925"
20/03/2024 09:57:58,35,0,"0,543922","0,739716","-0,498613","0,301324","4,151171","2,23818","3,08814","2,949633","-8,652139","0,783629","4166,562203"
20/03/2024 09:57:58,35,0,"0,58974","0,758384","-0,386975","0,224871","4,075185","2,225066","3,072405","2,957369","-8,647291","0,861035","4010,189392"
20/03/2024 09:57:58,35,0,"0,578247","0,716164","-0,421138","0,27276","3,925841","2,183304","3,081425","2,962693","-8,641448","0,814257","4153,796015"
20/03/2024 09:57:58,35,0,"0,575161","0,706948","-0,447093","0,36547","4,091028","2,23517","3,064673","2,927133","-8,654355","0,873138","4161,002676"
20/03/2024 09:57:59,35,0,"0,584495","0,705688","-0,389867","0,456135","4,002826","2,2715","3,071794","2,930433","-8,663183","0,817147","4028,832359"
20/03/2024 09:57:59,35,0,"0,596373","0,711517","-0,364616","0,406871","3,980027","2,15718","3,077322","2,95414","-8,662252","0,828673","4383,832251"
20/03/2024 09:57:59,35,0,"0,551019","0,774217","-0,422546","0,326538","4,141685","2,100851","3,033304","2,951514","-8,674966","0,84739","4167,245472"
20/03/2024 09:57:59,35,0,"0,608637","0,771145","-0,230149","0,241233","4,050688","2,218492","3,038493","2,932669","-8,655928","0,853233","3871,910136"
20/03/2024 09:57:59,35,0,"0,566368","0,760432","-0,400578","0,240281","3,963185","2,298869","3,06942","2,957866","-8,655093","0,815285","4056,4843"
20/03/2024 09:57:59,35,0,"0,535746","0,779021","-0,445139","0,366422","4,029852","2,176695","3,069319","2,929333","-8,672751","0,85487","4286,751058"
20/03/2024 09:57:59,35,0,"0,577784","0,783748","-0,519408","0,43882","4,019035","2,263715","3,066775","2,963793","-8,653456","0,850922","4023,739306"
20/03/2024 09:58:00,35,0,"0,532892","0,782093","-0,441543","0,413888","4,031483","2,190016","3,073761","2,942145","-8,65185","0,844244","4181,521961"
20/03/2024 09:58:00,35,0,"0,570765","0,764528","-0,318803","0,373405","4,013543","2,215032","3,063113","2,958824","-8,648736","0,816473","4011,88062"
20/03/2024 09:58:00,35,0,"0,593982","0,748065","-0,475472","0,291238","4,15004","2,246657","3,078611","2,934266","-8,645365","0,864438","3998,651642"
20/03/2024 09:58:00,35,0,"0,559966","0,724514","-0,442168","0,246699","4,002992","2,1996","3,073592","2,928055","-8,663954","0,839364","3969,905701"
20/03/2024 09:58:00,35,0,"0,593673","0,765552","-0,429582","0,251531","4,037075","2,3243","3,050667","2,946403","-8,649603","0,934492","4357,520131"
20/03/2024 09:58:00,35,0,"0,57655","0,799501","-0,390571","0,367339","3,987848","2,249287","3,071659","2,945906","-8,654708","0,848899","4010,471196"
20/03/2024 09:58:01,35,0,"0,64543","0,750192","-0,39917","0,411349","4,052419","2,130469","3,085325","2,929652","-8,659716","0,866653","4031,098004"
20/03/2024 09:58:01,35,0,"0,531273","0,770908","-0,430911","0,4208","3,992708","2,169118","3,077661","2,942819","-8,667871","0,857022","4326,599715"
20/03/2024 09:58:01,35,0,"0,56228","0,819508","-0,48587","0,332322","4,03794","2,222541","3,07271","2,919396","-8,637596","0,834965","3976,700075"
20/03/2024 09:58:01,35,0,"0,558192","0,765001","-0,340459","0,225787","4,09196","2,165035","3,097228","2,95996","-8,6549","0,861998","4266,015181"
20/03/2024 09:58:01,35,0,"0,597299","0,744915","-0,277525","0,236155","4,076616","2,227039","3,077627","2,931107","-8,632266","0,873973","4001,462636"
20/03/2024 09:58:01,35,0,"0,563129","0,730658","-0,374701","0,343606","4,065266","2,317657","3,062841","2,945906","-8,630565","0,799649","4296,70384"
20/03/2024 09:58:01,35,0,"0,549862","0,756415","-0,479459","0,440019","4,001162","2,387861","3,064944","2,943245","-8,630372","0,860489","3984,999445"
20/03/2024 09:58:02,35,0,"0,564054","0,709626","-0,523552","0,414206","4,088831","2,208631","3,067657","2,958505","-8,637724","0,829539","4355,785153"
