Time,Frequencia CMB,Untitled 1,CV-1,CV-2,CV-3,PT-1,PT-2,PT-3,PT-4,PT-5,FT-1,FT-2,
20/03/2024 14:34:59,53,0,"-0,51504","-0,324998","-0,459915","-0,938294","9,312638","6,16186","3,225552","3,086834","-8,621896","1,014113","3613,301162"
20/03/2024 14:35:08,53,0,"-0,456496","-0,311843","-0,497284","-0,94376","9,158701","5,940348","3,246171","3,103656","-8,663729","0,943834","5262,791744"
20/03/2024 14:35:08,53,0,"-0,484341","-0,329724","-0,456866","-0,952858","9,003499","6,195872","3,215412","3,102769","-8,654483","0,977737","3893,924365"
20/03/2024 14:35:08,53,0,"-0,57451","-0,250719","-0,571787","-0,947251","9,154175","5,907686","3,210834","3,080126","-8,651048","0,940014","4566,207883"
20/03/2024 14:35:08,53,0,"-0,516814","-0,265606","-0,508854","-0,947674","9,23542","6,047748","3,227214","3,08765","-8,646553","0,960978","5688,950189"
20/03/2024 14:35:08,53,0,"-0,513112","-0,275058","-0,473908","-0,956984","9,10395","5,944362","3,238778","3,099575","-8,668481","0,981622","3461,356233"
20/03/2024 14:35:08,53,0,"-0,54975","-0,245363","-0,534262","-0,941538","8,81082","5,963046","3,260515","3,095174","-8,6523","1,008398","4423,134847"
20/03/2024 14:35:08,53,0,"-0,530467","-0,327046","-0,573976","-0,944747","9,071997","5,95142","3,225281","3,097765","-8,658625","0,998221","5926,173644"
20/03/2024 14:35:09,53,0,"-0,535172","-0,307826","-0,48329","-0,946969","9,066738","6,066259","3,259091","3,082078","-8,665206","0,97549","4532,107775"
20/03/2024 14:35:09,53,0,"-0,506787","-0,304597","-0,527304","-0,933886","9,324854","5,939414","3,225552","3,101491","-8,675801","0,940752","4704,644087"
20/03/2024 14:35:09,53,0,"-0,47925","-0,407941","-0,428565","-0,937166","8,979169","6,063283","3,248443","3,08254","-8,655831","0,936097","5116,555774"
20/03/2024 14:35:09,53,0,"-0,507867","-0,334844","-0,444201","-0,938506","8,809555","6,04062","3,2596","3,102094","-8,683442","0,919948","4566,849726"
20/03/2024 14:35:09,53,0,"-0,456805","-0,318302","-0,437478","-0,93646","8,90052","5,980139","3,193742","3,092583","-8,644338","0,991767","3696,602821"
20/03/2024 14:35:09,53,0,"-0,443229","-0,305621","-0,464762","-0,937553","9,332775","6,168365","3,225857","3,101491","-8,669187","1,005219","3150,356675"
20/03/2024 14:35:09,53,0,"-0,471537","-0,296168","-0,51503","-0,920097","9,319195","5,909277","3,222466","3,099646","-8,615571","0,966822","5001,724351"
20/03/2024 14:35:10,53,0,"-0,470071","-0,304439","-0,644571","-0,938188","8,879784","5,970866","3,256615","3,076294","-8,652846","0,925534","5096,936975"
20/03/2024 14:35:10,53,0,"-0,521828","-0,229845","-0,526757","-0,952858","9,121324","6,074321","3,253123","3,093506","-8,671274","0,919819","3620,842195"
20/03/2024 14:35:10,53,0,"-0,493751","-0,332402","-0,406441","-0,940692","9,419213","6,097815","3,230062","3,083143","-8,629794","1,009907","5174,652537"
20/03/2024 14:35:10,53,0,"-0,48519","-0,327912","-0,437478","-0,939281","8,72578","6,049063","3,266179","3,107666","-8,659748","0,932341","4651,495854"
20/03/2024 14:35:10,53,0,"-0,510412","-0,329802","-0,526913","-0,932334","9,296995","5,997889","3,227146","3,091873","-8,648672","0,93706","5161,336524"
20/03/2024 14:35:10,53,0,"-0,499614","-0,352882","-0,403157","-0,946264","9,152278","6,020967","3,224162","3,093045","-8,653745","0,972761","3684,240985"
20/03/2024 14:35:11,53,0,"-0,495448","-0,354063","-0,437399","-0,952153","9,241544","6,028303","3,239388","3,092512","-8,634835","0,873877","5179,139854"
