Time,Frequencia CMB,CV-1,CV-2,CV-3,PT-1,PT-2,PT-3,PT-4,PT-5,FT-1,FT-2
2024-03-20 14:35:08,53.0,-0.52815753,-0.28230795,-0.5199382,-0.9484863,9.0625,6.001953,3.2291667,3.0940754,-8.654948,0.9777832
2024-03-20 14:35:09,53.0,-0.48577008,-0.32509068,-0.47154018,-0.93575615,9.106027,6.0234375,3.233538,3.0943081,-8.658483,0.9622628
2024-03-20 14:35:10,53.0,-0.49674478,-0.31288657,-0.4908854,-0.94156903,9.100261,6.0351562,3.2428386,3.0911458,-8.6536455,0.9494629
2024-03-20 14:35:11,53.0,-0.49515206,-0.32571846,-0.48046875,-0.9447545,9.232142,6.111607,3.2240512,3.095145,-8.652902,0.9461495
2024-03-20 14:35:12,53.0,-0.4972447,-0.32481167,-0.48046875,-0.936663,9.016741,5.9882812,3.2282367,3.0898438,-8.658483,0.94538224
2024-03-20 14:35:13,53.0,-0.4855957,-0.3079834,-0.5422363,-0.93969727,9.040364,6.0436196,3.2337239,3.0927734,-8.6484375,0.9416504
2024-03-20 14:35:14,53.0,-0.49843052,-0.32024273,-0.53222656,-0.9480329,9.065848,5.9899554,3.236607,3.0870535,-8.646205,0.93791854
2024-03-20 14:35:15,53.0,-0.49323383,-0.31319755,-0.47293526,-0.9434989,9.2421875,6.0502234,3.2318637,3.0842633,-8.654017,0.9540318
2024-03-20 14:35:16,53.0,-0.48535156,-0.3100586,-0.50683594,-0.93986005,9.139323,6.0527344,3.2252605,3.078125,-8.6484375,0.94506836
2024-03-20 14:35:17,53.0,-0.4961984,-0.31515068,-0.48120117,-0.94649833,9.041295,6.017857,3.2399554,3.0931919,-8.65067,0.95779854
2024-03-20 14:35:18,53.0,-0.5069755,-0.3044085,-0.49870953,-0.9433594,9.142858,6.126674,3.2360492,3.0867746,-8.652902,0.9678432
2024-03-20 14:35:19,53.0,-0.49206543,-0.31758627,-0.5180664,-0.9402669,8.9375,6.0384116,3.2395833,3.086263,-8.652344,0.94718426
2024-03-20 14:35:20,53.0,-0.48981586,-0.31821987,-0.4775042,-0.93868583,9.188616,6.080357,3.232143,3.0890067,-8.660714,0.94356865
2024-03-20 14:35:21,53.0,-0.48594448,-0.3077567,-0.49243164,-0.9439872,9.129464,6.017857,3.235491,3.0856586,-8.646205,0.9482422
2024-03-20 14:35:22,53.0,-0.49035645,-0.32165527,-0.46923828,-0.9436849,8.933594,5.966146,3.241862,3.0859375,-8.65625,0.96883136
2024-03-20 14:35:23,53.0,-0.49375698,-0.31260464,-0.4881766,-0.94077843,9.133928,6.0792413,3.2324219,3.0895648,-8.657366,0.96086776
2024-03-20 14:35:24,53.0,-0.49644253,-0.30329242,-0.48664203,-0.9444057,9.09933,5.9832587,3.2371652,3.0864956,-8.643973,0.94970703
2024-03-20 14:35:25,53.0,-0.4941813,-0.31791177,-0.43538412,-0.94344074,9.2317705,5.9720054,3.2194011,3.0979817,-8.649739,0.931722
2024-03-20 14:35:26,53.0,-0.5027553,-0.31699917,-0.46589008,-0.9444057,9.0859375,5.9960938,3.2262836,3.094866,-8.647322,0.952288
2024-03-20 14:35:27,53.0,-0.50606865,-0.3010254,-0.45193917,-0.94356865,9.142858,6.029018,3.235491,3.0890067,-8.654017,0.9566127
2024-03-20 14:35:28,53.0,-0.4766439,-0.3186849,-0.4749349,-0.9406738,9.1536455,6.0227866,3.226888,3.0940754,-8.651042,0.95133466
2024-03-20 14:35:29,53.0,-0.5062081,-0.31612724,-0.5407715,-0.94196427,9.188616,6.0167413,3.2307477,3.0892856,-8.657366,0.9578683
2024-03-20 14:35:30,53.0,-0.5047084,-0.3089774,-0.4817941,-0.9425921,9.029017,6.004464,3.2380023,3.0873325,-8.652902,0.9363839
2024-03-20 14:35:31,53.0,-0.47554526,-0.30786133,-0.49861655,-0.9463704,9.072917,5.964193,3.2395833,3.09375,-8.651042,0.95003253
2024-03-20 14:35:32,53.0,-0.49717495,-0.30393764,-0.48737445,-0.9462193,9.19308,6.029576,3.2307477,3.0876117,-8.654017,0.9589844
2024-03-20 14:35:33,53.0,-0.48249164,-0.3037807,-0.47869,-0.9388253,9.075892,6.0569196,3.2371652,3.094866,-8.647322,0.96428573
2024-03-20 14:35:34,53.0,-0.47111002,-0.31070963,-0.5124512,-0.9370931,9.1119795,6.0384116,3.2311199,3.0934246,-8.647136,0.9515788
2024-03-20 14:35:35,53.0,-0.48939732,-0.3092913,-0.5145089,-0.94754463,9.073661,6.0083704,3.2273996,3.0984933,-8.649553,0.9495675
2024-03-20 14:35:36,53.0,-0.49762836,-0.31162807,-0.4753418,-0.9469169,9.0234375,6.0122766,3.2338169,3.0984933,-8.658483,0.9636579
2024-03-20 14:35:37,53.0,-0.48840332,-0.3087565,-0.50146484,-0.9406738,9.217448,6.018229,3.2239583,3.095052,-8.665364,0.958903
2024-03-20 14:35:38,53.0,-0.5084752,-0.30716377,-0.502546,-0.9390346,9.127233,6.0574775,3.232143,3.0898438,-8.647322,0.9600307
2024-03-20 14:35:39,53.0,-0.4918736,-0.31734794,-0.47705078,-0.9466378,9.137277,6.094308,3.2363281,3.0973773,-8.657366,0.9269671
2024-03-20 14:35:40,53.0,-0.495931,-0.316569,-0.4683024,-0.94433594,8.9973955,6.0585938,3.2428386,3.0970051,-8.641927,0.9586589
2024-03-20 14:35:41,53.0,-0.4877581,-0.29907227,-0.48263115,-0.9469169,8.987723,5.982701,3.2402344,3.0895648,-8.65067,0.9814453
2024-03-20 14:35:42,53.0,-0.48521206,-0.31947544,-0.46641323,-0.9459403,9.118303,6.080915,3.2433035,3.0895648,-8.65625,0.94496375
2024-03-20 14:35:43,53.0,-0.5079753,-0.31530762,-0.53881836,-0.94002277,9.109375,6.0559897,3.2376301,3.0963542,-8.649739,0.9458008
2024-03-20 14:35:44,53.0,-0.4932687,-0.3084891,-0.51171875,-0.94001114,8.9921875,6.0094867,3.234375,3.0957031,-8.642858,0.9572405
2024-03-20 14:35:45,53.0,-0.4796317,-0.31298828,-0.48726982,-0.9458705,9.082589,6.0055804,3.2407925,3.0892856,-8.649553,0.93896484
2024-03-20 14:35:46,53.0,-0.49145508,-0.33109537,-0.46350098,-0.94506836,9.140625,6.0429688,3.2353516,3.0963542,-8.6588545,0.9711914
2024-03-20 14:35:47,53.0,-0.49452427,-0.32585797,-0.4995466,-0.94384766,9.137277,6.0273438,3.2299106,3.09375,-8.65067,0.9423828
2024-03-20 14:35:48,53.0,-0.4900251,-0.33977398,-0.4796317,-0.94328964,9.078125,5.995536,3.2413504,3.0917969,-8.652902,0.92689735
2024-03-20 14:35:49,53.0,-0.5020345,-0.31852213,-0.5078125,-0.9408366,9.088542,6.076172,3.239909,3.0878906,-8.6484375,0.93815106
2024-03-20 14:35:50,53.0,-0.49267578,-0.3114188,-0.4951172,-0.94029015,9.083705,6.0033484,3.2382812,3.092355,-8.66183,0.94782364
2024-03-20 14:35:51,53.0,-0.5070452,-0.31984165,-0.50666153,-0.94245255,9.158483,6.0239954,3.2399554,3.0954242,-8.654017,0.95640343
2024-03-20 14:35:52,53.0,-0.50459796,-0.32019043,-0.49169922,-0.9468587,9.0625,6.0377603,3.2307942,3.085612,-8.6536455,0.947347
2024-03-20 14:35:53,53.0,-0.49818638,-0.31138393,-0.5005929,-0.94196427,9.104911,6.061942,3.2363281,3.094587,-8.6484375,0.95996094
2024-03-20 14:35:54,53.0,-0.51304406,-0.3106515,-0.5200544,-0.9405692,9.078125,6.0094867,3.2410715,3.0912387,-8.651786,0.9359654
2024-03-20 14:35:55,53.0,-0.5085449,-0.3095703,-0.52937824,-0.9397786,9.0703125,5.966146,3.2307942,3.088216,-8.652344,0.9406738
2024-03-20 14:35:56,53.0,-0.4881766,-0.32666016,-0.460798,-0.9476144,9.003348,6.0212054,3.234375,3.0887277,-8.651786,0.9636579
2024-03-20 14:35:57,53.0,-0.5041504,-0.32069615,-0.5264369,-0.9404994,9.03683,5.9748883,3.2391183,3.0842633,-8.66183,0.9363839
2024-03-20 14:35:58,53.0,-0.475708,-0.3326416,-0.47912598,-0.9390462,9.0625,6.018229,3.2405598,3.0852864,-8.649739,0.94506836
2024-03-20 14:35:59,53.0,-0.47474888,-0.3274972,-0.48570034,-0.9404994,9.09933,6.029576,3.2374442,3.0917969,-8.659598,0.938058
2024-03-20 14:36:00,53.0,-0.4850028,-0.33108956,-0.45441547,-0.9393136,9.112723,5.9726562,3.2279575,3.0917969,-8.654017,0.93540734
2024-03-20 14:36:01,53.0,-0.48950195,-0.33658853,-0.5193278,-0.9448242,8.994792,5.995443,3.2347004,3.0970051,-8.654948,0.9379883
2024-03-20 14:36:02,53.0,-0.48796734,-0.32585797,-0.47569057,-0.9453125,9.032366,6.109375,3.2391183,3.0979352,-8.647322,0.9660296
2024-03-20 14:36:03,53.0,-0.4998605,-0.334089,-0.46037945,-0.9359654,9.098214,6.0574775,3.236607,3.0973773,-8.65625,0.9504743
2024-03-20 14:36:04,53.0,-0.48539224,-0.34147134,-0.50789386,-0.9420573,9.0755205,6.0585938,3.226237,3.0970051,-8.6536455,0.95043945
2024-03-20 14:36:05,53.0,-0.5105678,-0.3276716,-0.46735492,-0.9379883,9.111608,6.0507812,3.23577,3.095982,-8.654017,0.9515206
2024-03-20 14:36:06,53.0,-0.50938195,-0.32707867,-0.509661,-0.9363839,9.053572,5.982701,3.2382812,3.0954242,-8.651786,0.9272461
2024-03-20 14:36:07,53.0,-0.49536133,-0.32861328,-0.49788412,-0.9385579,9.0859375,5.9746094,3.2382812,3.0904949,-8.647136,0.94401044
2024-03-20 14:36:08,53.0,-0.49152485,-0.32453266,-0.51764786,-0.9439872,9.103795,6.0301337,3.2382812,3.094587,-8.660714,0.9421038
2024-03-20 14:36:09,53.0,-0.4718192,-0.3250558,-0.5269601,-0.9375,9.073661,5.9949775,3.2368863,3.1004465,-8.647322,0.95103234
2024-03-20 14:36:10,53.0,-0.50386554,-0.3251953,-0.495931,-0.94108075,9.024739,5.9479165,3.2363281,3.09375,-8.6484375,0.95792645
2024-03-20 14:36:11,53.0,-0.47935268,-0.3265904,-0.48032925,-0.93756974,9.052455,6.032924,3.2371652,3.091518,-8.638392,0.9441964
2024-03-20 14:36:12,53.0,-0.49305943,-0.32345146,-0.5104632,-0.9362444,9.078125,5.9832587,3.2313058,3.0931919,-8.649553,0.9572405
2024-03-20 14:36:13,53.0,-0.48286948,-0.31270346,-0.52738446,-0.94059247,9.144531,6.0410156,3.2353516,3.0859375,-8.6484375,0.9399414
2024-03-20 14:36:14,53.0,-0.4995815,-0.3068499,-0.46756417,-0.9444755,9.094866,6.0122766,3.2371652,3.095145,-8.65625,0.9598912
2024-03-20 14:36:15,53.0,-0.50006974,-0.3114188,-0.46864536,-0.94280136,9.071428,6.0189734,3.2407925,3.0878906,-8.660714,0.95410156
2024-03-20 14:36:16,53.0,-0.48295084,-0.317098,-0.4946696,-0.94417316,9.0546875,5.957682,3.2415364,3.0963542,-8.654948,0.95377606
2024-03-20 14:36:17,53.0,-0.49564034,-0.3132673,-0.5065569,-0.94412667,9.140625,6.1015625,3.237723,3.0957031,-8.658483,0.9874442
2024-03-20 14:36:18,53.0,-0.5069755,-0.2875279,-0.48726982,-0.94601005,9.121652,6.0206475,3.234654,3.0917969,-8.646205,0.9316406
2024-03-20 14:36:19,53.0,-0.4859619,-0.3174642,-0.4892985,-0.94645184,9.102864,6.1080728,3.2353516,3.0927734,-8.651042,0.9316406
2024-03-20 14:36:20,53.0,-0.4937221,-0.30810547,-0.51510185,-0.94573104,9.106027,6.0864954,3.236607,3.0943081,-8.655134,0.96435547
2024-03-20 14:36:21,53.0,-0.47816685,-0.31605747,-0.51018417,-0.9464286,9.1953125,6.013393,3.23298,3.0917969,-8.657366,0.92473495
2024-03-20 14:36:22,53.0,-0.4975586,-0.30794272,-0.47200522,-0.94156903,9.108073,6.0143228,3.2441406,3.0940754,-8.65625,0.9335124
2024-03-20 14:36:23,53.0,-0.49054828,-0.31898716,-0.5028251,-0.9430106,9.079241,6.0518975,3.2407925,3.0954242,-8.645089,0.95305526
2024-03-20 14:36:24,53.0,-0.4930943,-0.3310547,-0.46773857,-0.94196427,9.061384,6.0719867,3.2444196,3.0878906,-8.652902,0.94029015
2024-03-20 14:36:25,53.0,-0.487264,-0.3284912,-0.5102539,-0.9404297,9.0807295,5.9772134,3.2324219,3.0976562,-8.65625,0.9440918
2024-03-20 14:36:26,53.0,-0.48629326,-0.31089565,-0.46425083,-0.9428711,9.090402,6.0585938,3.2380023,3.0867746,-8.6484375,0.9496373
2024-03-20 14:36:27,53.0,-0.50671387,-0.31013998,-0.5400798,-0.94051105,9.1067705,5.995443,3.2353516,3.0908203,-8.6432295,0.9597168
2024-03-20 14:36:28,53.0,-0.48205566,-0.31575522,-0.48608398,-0.9423828,8.9973955,5.96875,3.2395833,3.103841,-8.662761,0.9423828
2024-03-20 14:36:29,53.0,-0.5060628,-0.32035318,-0.51013184,-0.9474284,9.020833,5.9895835,3.239909,3.0898438,-8.644531,0.93033856
2024-03-20 14:36:30,53.0,-0.50061035,-0.30533853,-0.5007324,-0.9485677,9.1223955,5.999349,3.227539,3.086914,-8.649739,0.9461263
2024-03-20 14:36:31,53.0,-0.5007673,-0.30583844,-0.49926758,-0.9451032,9.110491,6.015067,3.2374442,3.092634,-8.6484375,0.9837472
2024-03-20 14:36:32,53.0,-0.5083008,-0.32080078,-0.5094808,-0.9359538,8.972656,5.9947915,3.2470703,3.0904949,-8.6432295,0.9428711
2024-03-20 14:36:33,53.0,-0.4951172,-0.32128906,-0.5299886,-0.9479167,9.0598955,6.0364585,3.2298176,3.0986328,-8.6536455,0.93937176
2024-03-20 14:36:34,53.0,-0.504255,-0.31515068,-0.45668247,-0.94140625,9.121652,5.981585,3.2382812,3.092634,-8.655134,0.9490792
2024-03-20 14:36:35,53.0,-0.49483237,-0.30773926,-0.526001,-0.9413249,9.204427,6.0924478,3.2350261,3.0983074,-8.649739,0.9331868
2024-03-20 14:36:36,53.0,-0.50891113,-0.32511392,-0.45544434,-0.9442546,9.186198,6.0455728,3.2379558,3.0953777,-8.647136,0.96451825
2024-03-20 14:36:37,53.0,-0.48311362,-0.32486978,-0.48994955,-0.9462077,9.2526045,6.0924478,3.2340496,3.0930989,-8.641927,0.94628906
2024-03-20 14:36:38,53.0,-0.4769287,-0.32141113,-0.4698893,-0.94417316,9.024739,5.9882812,3.2379558,3.0911458,-8.649739,0.9652507
2024-03-20 14:36:39,53.0,-0.48014322,-0.31453452,-0.5083008,-0.94401044,9.170573,6.0429688,3.2317708,3.0872395,-8.661458,0.96435547
2024-03-20 14:36:40,53.0,-0.49438477,-0.31547037,-0.46439615,-0.9431966,9.048177,6.0403647,3.2441406,3.0957031,-8.647136,0.9475911
2024-03-20 14:36:41,53.0,-0.48872885,-0.30777994,-0.48791504,-0.9444173,9.029948,5.9928384,3.233073,3.0986328,-8.6588545,0.95686847
2024-03-20 14:36:42,53.0,-0.4991455,-0.33589682,-0.43802896,-0.94539386,9.097656,6.0084634,3.2415364,3.095052,-8.6588545,0.94384766
2024-03-20 14:36:43,53.0,-0.49248046,-0.30131835,-0.48061523,-0.94082034,9.09375,6.0015626,3.2382812,3.0929687,-8.654688,0.95214844
2024-03-20 14:36:44,53.0,-0.50878906,-0.3207601,-0.5288493,-0.94661456,9.1171875,6.0117188,3.2389324,3.0999348,-8.651042,0.96573895
2024-03-20 14:36:45,53.0,-0.48457846,-0.3162435,-0.49344888,-0.9425456,9.089844,5.983724,3.239909,3.0914714,-8.651042,0.96931964
2024-03-20 14:36:46,53.0,-0.49776205,-0.31612143,-0.5221761,-0.93513995,9.052083,6.0501304,3.2434895,3.0908203,-8.6536455,0.9649251
