Time,Frequencia CMB,CV-1,CV-2,CV-3,PT-1,PT-2,PT-3,PT-4,PT-5,FT-1,FT-2
2024-03-20 09:57:50,35.0,0.5761719,0.73945314,-0.417041,0.28059083,4.0976562,2.2867188,3.073047,2.9414062,-8.660937,0.84628904
2024-03-20 09:57:51,35.0,0.5764974,0.7308757,-0.42260742,0.31856284,4.0126953,2.2828777,3.072591,2.9479167,-8.652344,0.83496094
2024-03-20 09:57:52,35.0,0.5700335,0.74365234,-0.44203404,0.34188408,4.0393414,2.2586496,3.0736606,2.9511719,-8.649553,0.84172714
2024-03-20 09:57:53,35.0,0.5793806,0.7483259,-0.40550014,0.3438372,4.0262275,2.3353794,3.0680804,2.9472656,-8.6484375,0.85274833
2024-03-20 09:57:54,35.0,0.57625324,0.75,-0.4355062,0.3260498,4.038737,2.266927,3.0644531,2.946289,-8.645833,0.8416341
2024-03-20 09:57:55,35.0,0.55922157,0.7444894,-0.44123188,0.32594517,4.0636163,2.2691128,3.0719867,2.9439175,-8.6640625,0.8477958
2024-03-20 09:57:56,35.0,0.5578962,0.7451172,-0.40345982,0.34901646,4.013672,2.2611606,3.0761719,2.9458706,-8.65067,0.84709823
2024-03-20 09:57:57,35.0,0.5797526,0.726888,-0.44510904,0.33614096,4.0390625,2.2109375,3.0787761,2.9414062,-8.666667,0.8286133
2024-03-20 09:57:58,35.0,0.5726144,0.73890907,-0.43945312,0.3392857,4.037946,2.2003348,3.0739398,2.9428012,-8.651786,0.8408203
2024-03-20 09:57:59,35.0,0.57421875,0.75502235,-0.3960484,0.3537249,4.027065,2.2123325,3.061105,2.9455914,-8.662947,0.8382394
2024-03-20 09:58:00,35.0,0.57128906,0.7640788,-0.41642252,0.32399496,4.0364585,2.2373047,3.0686848,2.9423828,-8.652344,0.8579915
2024-03-20 09:58:01,35.0,0.5724749,0.76248604,-0.39833286,0.34429058,4.0457587,2.2315848,3.077009,2.938895,-8.645089,0.8506557
2024-03-20 09:58:02,35.0,0.5754046,0.738351,-0.4871303,0.33428082,4.0505023,2.34375,3.0694754,2.9461496,-8.652902,0.8350307
2024-03-20 09:58:03,35.0,0.57332355,0.75480145,-0.44226074,0.33166504,4.0413413,2.305664,3.0644531,2.9436848,-8.657552,0.8532715
2024-03-20 09:58:04,35.0,0.55126953,0.7588588,-0.4289202,0.3428083,4.0404577,2.2996652,3.0686383,2.9433594,-8.662947,0.86272323
2024-03-20 09:58:05,35.0,0.5574079,0.7519531,-0.44231305,0.34584263,4.0552454,2.2396762,3.0711496,2.9428012,-8.65067,0.8311942
2024-03-20 09:58:06,35.0,0.55826825,0.7682292,-0.43953452,0.32792154,4.033203,2.3802083,3.0716145,2.9485676,-8.6484375,0.8498535
2024-03-20 09:58:07,35.0,0.55367607,0.7398856,-0.42668805,0.33611187,4.069196,2.2639508,3.0697544,2.9455914,-8.654017,0.84702843
2024-03-20 09:58:08,35.0,0.56703407,0.74665177,-0.43314034,0.34085518,4.0376673,2.222098,3.0733817,2.9402902,-8.649553,0.85163224
2024-03-20 09:58:09,35.0,0.5579427,0.7522786,-0.40079752,0.32253012,4.055013,2.3557942,3.0686848,2.930664,-8.657552,0.84798175
2024-03-20 09:58:10,35.0,0.55796593,0.7448382,-0.48782784,0.34978375,4.048549,2.2148438,3.0714285,2.9419644,-8.654017,0.8447963
2024-03-20 09:58:11,35.0,0.58342636,0.7524414,-0.43108258,0.32566616,4.0393414,2.3367746,3.0644531,2.937779,-8.657366,0.8507952
2024-03-20 09:58:12,35.0,0.5747884,0.7491862,-0.42256674,0.33870444,4.048828,2.3421223,3.070638,2.945638,-8.660156,0.85221356
2024-03-20 09:58:13,35.0,0.57882255,0.7464425,-0.48618862,0.3290667,4.04269,2.2639508,3.062779,2.935268,-8.654017,0.8528878
2024-03-20 09:58:14,35.0,0.55454797,0.73507255,-0.43666294,0.31874302,4.04269,2.3794644,3.0731027,2.9416852,-8.6484375,0.82638115
2024-03-20 09:58:15,35.0,0.5534668,0.75,-0.4407959,0.33626303,4.0416665,2.3330078,3.0703125,2.9404297,-8.647136,0.8491211
2024-03-20 09:58:16,35.0,0.558803,0.74776787,-0.494036,0.31827217,4.0415735,2.389788,3.078962,2.9453125,-8.658483,0.8351702
2024-03-20 09:58:17,35.0,0.5896345,0.74009484,-0.45057896,0.32128906,4.048549,2.2399554,3.0694754,2.9294086,-8.649553,0.8397042
2024-03-20 09:58:18,35.0,0.5602214,0.7516276,-0.43961588,0.33646646,4.0478516,2.3030598,3.071289,2.9381511,-8.660156,0.83081055
2024-03-20 09:58:19,35.0,0.58335656,0.73828125,-0.43694195,0.31769672,4.045201,2.2494419,3.0756137,2.940848,-8.651786,0.84598213
2024-03-20 09:58:20,35.0,0.58154297,0.7433036,-0.43837193,0.32350376,4.062779,2.2257254,3.0694754,2.9430804,-8.651786,0.8467494
2024-03-20 09:58:21,35.0,0.5671387,0.73876953,-0.4259847,0.33919272,4.013346,2.2994792,3.071289,2.9488933,-8.654948,0.850179
2024-03-20 09:58:22,35.0,0.5652204,0.7537667,-0.4381278,0.32198662,4.0259485,2.3052456,3.0703125,2.9441965,-8.65067,0.85923547
2024-03-20 09:58:23,35.0,0.5678711,0.75174385,-0.46749443,0.336077,4.0569196,2.2700894,3.0691965,2.9447544,-8.646205,0.83663505
2024-03-20 09:58:24,35.0,0.5741374,0.7495117,-0.48050943,0.3304647,4.0260415,2.3072917,3.069336,2.9440105,-8.654948,0.8395996
2024-03-20 09:58:25,35.0,0.5586635,0.7246094,-0.40140206,0.34810966,4.042411,2.280134,3.0742188,2.9444754,-8.659598,0.83586776
2024-03-20 09:58:26,35.0,0.58126396,0.7260045,-0.40230888,0.34123883,4.0242743,2.2087054,3.0694754,2.9486606,-8.652902,0.843192
2024-03-20 09:58:27,35.0,0.568278,0.74853516,-0.43493652,0.33728027,4.0390625,2.2233074,3.070638,2.944336,-8.662761,0.8574219
2024-03-20 09:58:28,35.0,0.5703125,0.7287249,-0.38858467,0.3308803,4.029855,2.2575336,3.0728238,2.9464285,-8.6484375,0.85728234
2024-03-20 09:58:29,35.0,0.5686384,0.7443499,-0.40938896,0.32331195,4.0538507,2.360491,3.077846,2.9453125,-8.652902,0.84577286
2024-03-20 09:58:30,35.0,0.58203125,0.7468262,-0.43074545,0.32499185,4.0403647,2.3460286,3.0719402,2.9469402,-8.654948,0.8457845
2024-03-20 09:58:31,35.0,0.5651507,0.75662667,-0.4058315,0.32414898,4.0343194,2.4056919,3.0714285,2.9472656,-8.651786,0.84877235
2024-03-20 09:58:32,35.0,0.55615234,0.7434431,-0.4594029,0.32317242,4.0390625,2.2427456,3.0678012,2.9475446,-8.651786,0.8372628
2024-03-20 09:58:33,35.0,0.57804364,0.7613118,-0.39945474,0.32983398,4.067057,2.2685547,3.0605469,2.9459636,-8.647136,0.8463542
2024-03-20 09:58:34,35.0,0.5611049,0.7509068,-0.42776924,0.33360073,4.0206475,2.296038,3.0722656,2.9472656,-8.640625,0.8556083
2024-03-20 09:58:35,35.0,0.55922157,0.7617885,-0.39882115,0.34385464,4.0351562,2.2631137,3.0731027,2.9447544,-8.652902,0.8655831
2024-03-20 09:58:36,35.0,0.57470703,0.7515462,-0.4243164,0.3238729,4.049154,2.2249348,3.0817058,2.9459636,-8.6484375,0.82088214
2024-03-20 09:58:37,35.0,0.57359093,0.76171875,-0.44018555,0.32631138,4.0415735,2.2597656,3.0669644,2.9400113,-8.640625,0.844308
2024-03-20 09:58:38,35.0,0.56794083,0.7308873,-0.42762974,0.3236956,4.048549,2.2606027,3.0705914,2.9428012,-8.654017,0.8226144
2024-03-20 09:58:39,35.0,0.57340497,0.7623698,-0.4054362,0.33068848,4.0533853,2.2698567,3.0755208,2.9384766,-8.654948,0.83951825
2024-03-20 09:58:40,35.0,0.56717354,0.7441406,-0.45549664,0.3199986,4.035993,2.2421875,3.0717075,2.9455914,-8.659598,0.84577286
2024-03-20 09:58:41,35.0,0.5684291,0.75711495,-0.44231305,0.3169643,4.0348773,2.2904575,3.0680804,2.9391742,-8.6640625,0.85791016
2024-03-20 09:58:42,35.0,0.5725911,0.751709,-0.4654541,0.3297933,4.0126953,2.2470703,3.070638,2.9436848,-8.651042,0.8387858
2024-03-20 09:58:43,35.0,0.547433,0.7526507,-0.455113,0.32882255,4.0365515,2.29827,3.0708706,2.9467075,-8.642858,0.8424944
2024-03-20 09:58:44,35.0,0.5793806,0.753976,-0.40956333,0.33830914,4.0273438,2.3222656,3.063337,2.9494977,-8.654017,0.86725724
2024-03-20 09:58:45,35.0,0.5680339,0.7504069,-0.41825357,0.33353677,4.0302734,2.3287761,3.0677083,2.9417317,-8.647136,0.84643555
2024-03-20 09:58:46,35.0,0.5603376,0.75502235,-0.40907505,0.3284389,4.0371094,2.3454242,3.0580356,2.9469867,-8.65625,0.8464007
2024-03-20 09:58:47,35.0,0.5732422,0.75446427,-0.45347378,0.3251953,4.0479913,2.2726004,3.0669644,2.9461496,-8.645089,0.84946984
2024-03-20 09:58:48,35.0,0.5666504,0.7714844,-0.39444986,0.32995605,4.0188804,2.2311199,3.0751953,2.9440105,-8.6484375,0.8375651
2024-03-20 09:58:49,35.0,0.58314735,0.7487444,-0.43837193,0.33611187,4.0362725,2.248605,3.0722656,2.9489398,-8.639509,0.84333146
2024-03-20 09:58:50,35.0,0.5822405,0.7662528,-0.4398019,0.3230678,4.0560827,2.3069196,3.075893,2.9469867,-8.657366,0.8445173
2024-03-20 09:58:51,35.0,0.568929,0.77457684,-0.43522134,0.31563315,4.0625,2.2337239,3.0696614,2.9573567,-8.6484375,0.8265788
2024-03-20 09:58:52,35.0,0.5711495,0.73535156,-0.42058453,0.3128139,4.0368304,2.2446988,3.0722656,2.9559152,-8.655134,0.8348214
2024-03-20 09:58:53,35.0,0.5705915,0.7400251,-0.46233258,0.32219586,4.0343194,2.4056919,3.0800781,2.9436383,-8.657366,0.8641183
2024-03-20 09:58:54,35.0,0.5777995,0.75423175,-0.4411621,0.32706705,4.046224,2.3017578,3.0771484,2.9466145,-8.6432295,0.84798175
2024-03-20 09:58:55,35.0,0.56808037,0.7707868,-0.43464008,0.32941547,4.032924,2.2885044,3.0742188,2.9489398,-8.647322,0.8459124
2024-03-20 09:58:56,35.0,0.5719169,0.7446289,-0.38907295,0.32296318,4.04269,2.2619977,3.0675223,2.9489398,-8.642858,0.8413086
2024-03-20 09:58:57,35.0,0.5668132,0.7527669,-0.4355062,0.31197104,4.061849,2.2451172,3.0722656,2.9436848,-8.654948,0.86694336
2024-03-20 09:58:58,35.0,0.58803016,0.7548131,-0.4136091,0.3236607,4.0412946,2.280413,3.0708706,2.9464285,-8.651786,0.8566546
2024-03-20 09:58:59,35.0,0.56459266,0.75502235,-0.4132603,0.31713867,4.0571985,2.2734375,3.0655692,2.9411273,-8.637277,0.8300084
2024-03-20 09:59:00,35.0,0.5661621,0.74820966,-0.41723633,0.33451334,4.0364585,2.318034,3.0735676,2.9485676,-8.662761,0.828125
2024-03-20 09:59:01,35.0,0.55140907,0.74672157,-0.46742466,0.3195103,4.0538507,2.324777,3.0655692,2.9489398,-8.6484375,0.8224749
2024-03-20 09:59:02,35.0,0.5634417,0.74762833,-0.4494629,0.32223076,4.0546875,2.3189175,3.0672433,2.950893,-8.645089,0.84598213
2024-03-20 09:59:03,35.0,0.571696,0.7423503,-0.3917643,0.32263184,4.0507812,2.2194011,3.0651042,2.9440105,-8.644531,0.8402507
2024-03-20 09:59:04,35.0,0.57345146,0.7534877,-0.42951313,0.3236607,4.0418525,2.279018,3.0719867,2.952846,-8.660714,0.84340125
2024-03-20 09:59:05,35.0,0.56808037,0.7504883,-0.41960797,0.32244,4.028739,2.248605,3.0717075,2.952009,-8.654017,0.8544922
2024-03-20 09:59:06,35.0,0.55737305,0.7453613,-0.43599448,0.32584634,4.0315757,2.2125652,3.0722656,2.9436848,-8.649739,0.86710614
2024-03-20 09:59:07,35.0,0.5632673,0.7589286,-0.45779854,0.32571846,4.047712,2.3005023,3.0756137,2.9419644,-8.6484375,0.8469587
2024-03-20 09:59:08,35.0,0.578125,0.7452567,-0.45438057,0.31672016,4.0507812,2.2243304,3.0725446,2.949777,-8.65067,0.83419365
2024-03-20 09:59:09,35.0,0.57625324,0.7104492,-0.43558756,0.3231608,4.0696616,2.2978516,3.0784504,2.9495442,-8.657552,0.8487142
2024-03-20 09:59:10,35.0,0.55726844,0.738072,-0.42780414,0.31612724,4.0569196,2.3395648,3.0739398,2.9573102,-8.643973,0.84061104
2024-03-20 09:59:11,35.0,0.55908203,0.7407924,-0.46194893,0.33314732,4.04548,2.250279,3.0722656,2.9506137,-8.646205,0.8165458
2024-03-20 09:59:12,35.0,0.5668132,0.7446289,-0.46846518,0.3260498,4.0559897,2.3613281,3.0738933,2.9466145,-8.652344,0.8269043
2024-03-20 09:59:13,35.0,0.5541992,0.7273995,-0.43017578,0.3131278,4.0438056,2.2912946,3.063616,2.9455914,-8.658483,0.8263114
2024-03-20 09:59:14,35.0,0.56529015,0.7437221,-0.44880024,0.32205635,4.0432477,2.2525113,3.0711496,2.9492188,-8.642858,0.83314735
2024-03-20 09:59:15,35.0,0.56656903,0.7477214,-0.4781901,0.32710776,4.0384116,2.318034,3.0748699,2.9378254,-8.65625,0.8409831
2024-03-20 09:59:16,35.0,0.53913224,0.7472796,-0.4290597,0.31162807,4.03404,2.2438617,3.0714285,2.9455914,-8.659598,0.84919083
2024-03-20 09:59:17,35.0,0.5703125,0.74853516,-0.4477539,0.31734213,4.0485024,2.382487,3.0709636,2.9567058,-8.639323,0.85148114
2024-03-20 09:59:18,35.0,0.5692952,0.7642415,-0.46618652,0.33390298,4.0611978,2.258789,3.0716145,2.9511719,-8.6536455,0.8449707
2024-03-20 09:59:19,35.0,0.56368583,0.75453407,-0.46404156,0.3173828,4.053571,2.2896206,3.0694754,2.9472656,-8.645089,0.84737724
2024-03-20 09:59:20,35.0,0.5496826,0.74820966,-0.45540366,0.32739258,4.0364585,2.2591145,3.0709636,2.9404297,-8.6588545,0.85750324
2024-03-20 09:59:21,35.0,0.5876465,0.7549642,-0.44555664,0.316569,4.0696616,2.3209636,3.071289,2.943034,-8.65625,0.84155273
2024-03-20 09:59:22,35.0,0.56828964,0.73367745,-0.42797852,0.32146344,4.040179,2.283482,3.0703125,2.9419644,-8.655134,0.8587472
2024-03-20 09:59:23,35.0,0.56640625,0.7470703,-0.41455078,0.30611166,4.064453,2.2789714,3.0651042,2.9459636,-8.65625,0.8601074
2024-03-20 09:59:24,35.0,0.5686849,0.75236005,-0.44356284,0.3322347,4.0257163,2.2832031,3.0664062,2.9378254,-8.6588545,0.8655599
2024-03-20 09:59:25,35.0,0.5431722,0.7420247,-0.40777588,0.31461588,4.0611978,2.3434246,3.0657551,2.947591,-8.652344,0.8301595
2024-03-20 09:59:26,35.0,0.5554199,0.74194336,-0.4222819,0.31791177,4.060547,2.3170574,3.0716145,2.9404297,-8.651042,0.8614095
2024-03-20 09:59:27,35.0,0.568929,0.76920575,-0.43111166,0.31555176,4.059896,2.271159,3.069987,2.9459636,-8.660156,0.82438153
2024-03-20 09:59:28,35.0,0.5659993,0.73909503,-0.48624673,0.31754556,4.0315757,2.311198,3.0745442,2.943034,-8.651042,0.8578288
2024-03-20 09:59:29,35.0,0.5663249,0.7360026,-0.42329916,0.31958008,4.0540366,2.3317058,3.0651042,2.947591,-8.657552,0.8435872
2024-03-20 09:59:30,35.0,0.57714844,0.7466634,-0.4337972,0.32462564,4.0533853,2.303711,3.0745442,2.9469402,-8.662761,0.8720703
2024-03-20 09:59:31,35.0,0.5644531,0.7530273,-0.4194824,0.31469727,4.0828123,2.3027344,3.070703,2.9433594,-8.65,0.86201173
2024-03-20 09:59:32,35.0,0.5755208,0.76000977,-0.43937173,0.32141113,4.0472007,2.2529297,3.0745442,2.945638,-8.654948,0.8408203
2024-03-20 09:59:33,35.0,0.5482585,0.75911456,-0.45784506,0.31013998,4.077474,2.3264973,3.0764973,2.9508464,-8.645833,0.84627277
2024-03-20 09:59:34,35.0,0.554362,0.7468262,-0.48339844,0.3178304,4.044596,2.2828777,3.0716145,2.9401042,-8.662761,0.8574219
2024-03-20 09:59:35,35.0,0.5767578,0.73642576,-0.42246094,0.3169922,4.0625,2.3027344,3.0773437,2.9503906,-8.6640625,0.8557617
2024-03-20 09:59:36,35.0,0.56363934,0.7364095,-0.42940268,0.31270346,4.0703125,2.2522786,3.0797527,2.9469402,-8.645833,0.8487142
2024-03-20 09:59:37,35.0,0.57285154,0.74248046,-0.4152344,0.32182616,4.0453124,2.2851562,3.0742188,2.9417968,-8.659375,0.84042966
2024-03-20 09:59:38,35.0,0.553304,0.7354329,-0.44934082,0.31522623,4.049479,2.2708333,3.0735676,2.9482422,-8.651042,0.85579425
2024-03-20 09:59:39,35.0,0.5585124,0.75960284,-0.39562988,0.3162028,4.0638022,2.3082683,3.078125,2.9427083,-8.651042,0.85514325
2024-03-20 09:59:40,35.0,0.5636719,0.75087893,-0.43549806,0.30874023,4.061719,2.265625,3.0773437,2.94375,-8.640625,0.8496094
2024-03-20 09:59:41,35.0,0.5662109,0.75146484,-0.42714843,0.32036132,4.0589843,2.305078,3.0589843,2.9410157,-8.65,0.84453124
2024-03-20 09:59:42,35.0,0.5677083,0.7520345,-0.4206543,0.3098348,4.0432944,2.3167317,3.0729167,2.9446614,-8.645833,0.8614095
2024-03-20 09:59:43,35.0,0.56486005,0.7438151,-0.40264893,0.30639648,4.0546875,2.3105469,3.0748699,2.938802,-8.660156,0.8562012
2024-03-20 09:59:44,35.0,0.55742186,0.7147461,-0.43833008,0.31064454,4.0609374,2.2773438,3.0660157,2.9375,-8.659375,0.84882814
2024-03-20 09:59:45,35.0,0.5408203,0.7480469,-0.4199707,0.3158203,4.059375,2.2929688,3.0753906,2.9511719,-8.665625,0.8707031
2024-03-20 09:59:46,35.0,0.5626628,0.7527669,-0.43802896,0.31123862,4.067057,2.2698567,3.0719402,2.9469402,-8.660156,0.8523763
2024-03-20 09:59:47,35.0,0.5683594,0.7651367,-0.45756835,0.32875976,4.049609,2.3113282,3.073047,2.9441407,-8.646875,0.85244143
2024-03-20 09:59:48,35.0,0.57999676,0.7314453,-0.46439615,0.3247477,4.046875,2.2783203,3.069987,2.9501953,-8.647136,0.84195966
2024-03-20 09:59:49,35.0,0.5473633,0.7338867,-0.43393555,0.31904298,4.075,2.3257813,3.0773437,2.9484375,-8.65,0.85439456
2024-03-20 09:59:50,35.0,0.5523437,0.7530273,-0.40444335,0.3239258,4.04375,2.2832031,3.0683594,2.9402344,-8.65,0.8472656
2024-03-20 09:59:51,35.0,0.5660156,0.73173827,-0.42421874,0.30307618,4.0492187,2.3242188,3.0710938,2.95,-8.645312,0.8240234
