Frequencia CMB,Angulo CV-1,CV-1,CV-2,CV-3,PT-1,PT-2,PT-3,PT-4,PT-5,FT-1,FT-2,desconhecida
48.0,0.0,0.55615234,-0.35131836,89.3125,-0.9580078,8.25,5.421875,3.2695312,3.1308594,-8.65625,0.9526367,4420.0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
48.0,0.0,0.5538737,-0.32836914,89.302086,-0.9453125,8.329427,5.3847656,3.2679036,3.1367188,-8.6484375,0.91764325,4840.0
48.0,0.0,0.55398995,-0.32013813,89.33036,-0.9455915,8.322545,5.294643,3.2684152,3.141462,-8.652902,0.92152625,4400.5713
48.0,0.0,0.55018836,-0.32390484,89.30357,-0.94524276,8.329241,5.412946,3.2726004,3.1375558,-8.657366,0.9194336,4068.8572
48.0,0.0,0.55598956,-0.32470703,89.28125,-0.93815106,8.319011,5.3470054,3.2695312,3.140625,-8.639323,0.91341144,4209.6665
48.0,0.0,0.53777206,-0.32118443,89.28571,-0.9488002,8.334822,5.3532367,3.2756696,3.1369977,-8.649553,0.8964844,4647.4287
48.0,0.0,0.5730329,-0.34242466,89.3125,-0.95033485,8.267858,5.3359375,3.2700894,3.1431363,-8.647322,0.9178292,4132.857
48.0,0.0,0.570638,-0.33296713,89.322914,-0.95060223,8.28125,5.379557,3.2679036,3.1354167,-8.65625,0.91625977,4393.6665
48.0,0.0,0.55796593,-0.30964008,89.3125,-0.94859093,8.360491,5.280692,3.2703683,3.1344867,-8.65067,0.90848213,4127.7144
48.0,0.0,0.5660575,-0.31769672,89.29464,-0.94921875,8.3203125,5.361607,3.2717633,3.140346,-8.651786,0.9243164,4575.4287
48.0,0.0,0.58081055,-0.32364908,89.291664,-0.9498698,8.324219,5.3789062,3.2636719,3.1438801,-8.647136,0.9099121,4176.6665
48.0,0.0,0.5464216,-0.34706333,89.3125,-0.94461495,8.3125,5.3158484,3.265625,3.1350446,-8.6484375,0.9053432,4464.857
48.0,0.0,0.5644531,-0.34186664,89.26786,-0.9451032,8.293527,5.3136163,3.2698102,3.140904,-8.647322,0.9089704,4265.143
48.0,0.0,0.5527344,-0.32124838,89.322914,-0.94384766,8.321614,5.3854165,3.2675781,3.1357422,-8.6536455,0.92163086,4436.3335
48.0,0.0,0.56291854,-0.3239746,89.30357,-0.95103234,8.3359375,5.368304,3.280134,3.1389508,-8.65067,0.92550224,4467.143
48.0,0.0,0.5651507,-0.35267857,89.26786,-0.9501256,8.302455,5.339286,3.2731586,3.140904,-8.655134,0.9064593,4265.4287
48.0,0.0,0.53222656,-0.32657877,89.302086,-0.9465332,8.313802,5.3997397,3.2740886,3.1442058,-8.647136,0.90063477,4260.0
48.0,0.0,0.55398995,-0.3238351,89.32143,-0.94677734,8.300223,5.3270087,3.2726004,3.14202,-8.645089,0.90262276,4334.5713
48.0,0.0,0.55691963,-0.3330078,89.33036,-0.9459403,8.334822,5.3537946,3.2773438,3.1364398,-8.651786,0.9234096,4301.143
48.0,0.0,0.5603841,-0.3433838,89.3125,-0.9444987,8.270833,5.3554688,3.28125,3.1464844,-8.665364,0.9140625,4802.6665
48.0,0.0,0.55587333,-0.33907646,89.32143,-0.95347375,8.2890625,5.401786,3.2765067,3.1367188,-8.647322,0.9267578,4548.0
48.0,0.0,0.55936104,-0.3441685,89.32143,-0.95103234,8.370536,5.3800225,3.2684152,3.1425781,-8.65625,0.9234794,4717.7144
48.0,0.0,0.53759766,-0.3325602,89.291664,-0.9454753,8.2942705,5.3580728,3.2705078,3.140625,-8.6536455,0.923584,5060.0
48.0,0.0,0.55964005,-0.33077568,89.30357,-0.9501256,8.3125,5.359933,3.2742746,3.1381137,-8.65625,0.9278041,4804.0
48.0,0.0,0.5406669,-0.33115932,89.28571,-0.94252235,8.358259,5.3632812,3.2726004,3.142857,-8.652902,0.91950333,5145.7144
48.0,0.0,0.5315755,-0.3371582,89.3125,-0.95304364,8.3359375,5.3489585,3.271159,3.1363933,-8.654948,0.91381836,4971.3335
48.0,0.0,0.5638253,-0.3413086,89.27679,-0.94754463,8.321428,5.3627234,3.280971,3.1361606,-8.647322,0.9312919,4912.0
48.0,0.0,0.56696427,-0.32924107,89.28571,-0.95166016,8.302455,5.3487725,3.2753906,3.1381137,-8.652902,0.93247765,4389.4287
48.0,0.0,0.5557454,-0.34399414,89.302086,-0.9482422,8.317708,5.345703,3.2727864,3.1471355,-8.654948,0.9480794,4399.3335
48.0,0.0,0.55433875,-0.3294852,89.30357,-0.9513114,8.293527,5.358817,3.2795758,3.1339285,-8.6484375,0.9290597,4219.4287
48.0,0.0,0.5641044,-0.31905693,89.28571,-0.9471261,8.328125,5.3002234,3.282087,3.1464844,-8.649553,0.9024833,3889.7144
48.0,0.0,0.5551758,-0.3449707,89.260414,-0.94401044,8.3619795,5.361979,3.28125,3.1445312,-8.6484375,0.9194336,4002.3333
48.0,0.0,0.5643136,-0.32516044,89.3125,-0.941197,8.325892,5.3404016,3.2723215,3.1369977,-8.660714,0.92041016,3812.5715
48.0,0.0,0.5586635,-0.3408203,89.32143,-0.94970703,8.344866,5.329799,3.2756696,3.1364398,-8.646205,0.9126674,3971.1428
48.0,0.0,0.5534668,-0.33040366,89.28125,-0.95255536,8.3359375,5.3365884,3.2714844,3.1432292,-8.647136,0.913737,3739.6667
48.0,0.0,0.56208146,-0.32561383,89.3125,-0.9550084,8.34375,5.348214,3.2857144,3.140904,-8.647322,0.92654854,3524.5715
48.0,0.0,0.5565011,-0.32334682,89.3125,-0.94328964,8.352678,5.359375,3.279018,3.1467633,-8.655134,0.92550224,3644.5715
48.0,0.0,0.59073895,-0.33581543,89.239586,-0.95003253,8.332031,5.3470054,3.282552,3.1471355,-8.647136,0.9073079,3835.3333
48.0,0.0,0.56717354,-0.3285435,89.29464,-0.9488002,8.295759,5.327567,3.283482,3.1436942,-8.654017,0.925851,4156.2856
48.0,0.0,0.5605469,-0.33283344,89.32143,-0.94384766,8.303572,5.375558,3.282645,3.1434152,-8.652902,0.90506417,4037.4285
48.0,0.0,0.5576172,-0.33162436,89.270836,-0.94295245,8.321614,5.361328,3.2792969,3.1432292,-8.6640625,0.92008466,4448.6665
48.0,0.0,0.5560128,-0.3250558,89.29464,-0.95431083,8.297991,5.3543525,3.280134,3.1481586,-8.65625,0.91259766,4704.5713
48.0,0.0,0.56535995,-0.32244,89.33929,-0.95033485,8.3203125,5.2862725,3.284598,3.1453683,-8.657366,0.9273856,4574.857
48.0,0.0,0.54996747,-0.34322104,89.3125,-0.9396159,8.369792,5.393229,3.2776692,3.1471355,-8.652344,0.9123535,4822.6665
48.0,0.0,0.5578962,-0.31811523,89.25893,-0.9439174,8.36942,5.3688617,3.2784598,3.1450894,-8.652902,0.9241769,4786.857
48.0,0.0,0.55754745,-0.33450752,89.30357,-0.9463588,8.357142,5.3828125,3.2806919,3.1473215,-8.6484375,0.93498886,4844.5713
