Frequencia CMB,Angulo CV-1,CV-1,CV-2,CV-3,PT-1,PT-2,PT-3,PT-4,PT-5,FT-1,FT-2,desconhecida
40.0,0.0,0.47045898,0.7631836,-0.4885254,-0.95947266,6.7695312,4.1289062,3.0878906,2.9570312,-8.6640625,0.85498047,4776.0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
40.0,0.0,0.56966144,0.7508952,-0.4468994,-0.9609375,6.763021,4.1660156,3.0927734,2.9651692,-8.65625,0.8511556,4493.3335
40.0,0.0,0.54833984,0.76227677,-0.40942383,-0.96916854,6.77846,4.19029,3.1012836,2.9715402,-8.652902,0.85763115,4556.0
40.0,0.0,0.55454797,0.7214007,-0.43802315,-0.97202843,6.763951,4.1791296,3.1029575,2.9645648,-8.665178,0.85442245,4578.2856
40.0,0.0,0.5635579,0.74316406,-0.46870932,-0.97843426,6.7760415,4.1660156,3.0921223,2.9697266,-8.6484375,0.8244629,4570.0
40.0,0.0,0.5618722,0.7247489,-0.46557617,-0.9765625,6.7728796,4.1506696,3.0909598,2.9634488,-8.655134,0.848005,4582.857
40.0,0.0,0.550572,0.74637276,-0.40942383,-0.9664481,6.7907367,4.204799,3.0943081,2.9659598,-8.658483,0.8450753,4562.2856
40.0,0.0,0.56502277,0.7417806,-0.44344077,-0.9684245,6.7578125,4.142578,3.0911458,2.9622395,-8.652344,0.86653644,4528.0
40.0,0.0,0.5565709,0.7467913,-0.44053432,-0.9794922,6.7706475,4.169643,3.092634,2.9656808,-8.652902,0.8553292,4578.857
40.0,0.0,0.562221,0.73765343,-0.43376812,-0.96595985,6.792411,4.1526227,3.0884488,2.965402,-8.6484375,0.8660714,4573.7144
40.0,0.0,0.59187824,0.7430013,-0.45076498,-0.9739583,6.7884116,4.111328,3.0908203,2.9638672,-8.6588545,0.8374837,4563.3335
40.0,0.0,0.5565709,0.75258094,-0.44845146,-0.967913,6.7539062,4.1707587,3.092913,2.9612164,-8.646205,0.82205635,4516.0
40.0,0.0,0.5453404,0.7512556,-0.45898438,-0.96561104,6.7751117,4.185826,3.0878906,2.9628906,-8.652902,0.8609096,4531.4287
40.0,0.0,0.5547282,0.7314453,-0.41560873,-0.9675293,6.7695312,4.1966147,3.0888672,2.9733074,-8.6484375,0.84309894,4522.6665
40.0,0.0,0.5528739,0.7523019,-0.4290597,-0.96777344,6.7539062,4.09654,3.0892856,2.969866,-8.658483,0.8459124,4553.7144
40.0,0.0,0.5601981,0.75606865,-0.4353376,-0.9560547,6.779576,4.1997766,3.0920758,2.9637277,-8.654017,0.85114396,4537.143
40.0,0.0,0.5651042,0.7336426,-0.42862955,-0.97924805,6.738932,4.1640625,3.0957031,2.9690754,-8.6588545,0.83374023,4579.3335
40.0,0.0,0.5614537,0.7530692,-0.44098774,-0.97202843,6.767857,4.1155133,3.0856586,2.9662387,-8.654017,0.831822,4561.143
40.0,0.0,0.5453404,0.74762833,-0.40708706,-0.9736328,6.7578125,4.170201,3.0895648,2.9693081,-8.65067,0.8473075,4577.7144
40.0,0.0,0.56518555,0.74853516,-0.42940268,-0.96158856,6.7688804,4.1503906,3.100586,2.967448,-8.651042,0.8631999,4576.6665
40.0,0.0,0.5822405,0.73423547,-0.44705635,-0.98883927,6.7712054,4.1662946,3.1007254,2.9681919,-8.657366,0.8429827,4584.0
40.0,0.0,0.5627093,0.75334823,-0.44768414,-0.9716797,6.765625,4.1618304,3.0987723,2.9595425,-8.654017,0.863072,4562.857
40.0,0.0,0.5500488,0.7417806,-0.4281006,-0.9744466,6.7617188,4.1634116,3.0820312,2.9713542,-8.665364,0.9012044,4506.6665
40.0,0.0,0.5584542,0.7273995,-0.46055385,-0.97154015,6.7622766,4.2103796,3.0976562,2.9743304,-8.668527,0.83600724,4640.0
40.0,0.0,0.5499442,0.72084266,-0.41095844,-0.9600307,6.7734375,4.129464,3.0901227,2.9634488,-8.662947,0.8378906,4608.5713
40.0,0.0,0.57210284,0.72753906,-0.44791666,-0.97843426,6.7617188,4.1575522,3.0947266,2.9667969,-8.65625,0.85131836,4593.3335
40.0,0.0,0.5560128,0.7532087,-0.42344448,-0.9760742,6.7583704,4.1506696,3.092355,2.9642856,-8.6484375,0.85253906,4635.4287
40.0,0.0,0.58475167,0.7262835,-0.4802246,-0.9776088,6.7873883,4.141183,3.094029,2.9662387,-8.655134,0.842913,4616.857
40.0,0.0,0.57666016,0.74072266,-0.46040854,-0.97005206,6.766276,4.160807,3.0979817,2.96875,-8.651042,0.8486328,4758.6665
40.0,0.0,0.58796036,0.7435826,-0.5018136,-0.97691125,6.7779016,4.1886163,3.092634,2.9693081,-8.651786,0.8426339,4837.143
40.0,0.0,0.5627093,0.73876953,-0.44740513,-0.95765907,6.770089,4.143415,3.0898438,2.965402,-8.646205,0.84277344,4805.143
40.0,0.0,0.56274414,0.7513835,-0.44510904,-0.98201495,6.7727866,4.1178384,3.0843098,2.9658203,-8.662761,0.84765625,4752.6665
40.0,0.0,0.55859375,0.74428016,-0.4645996,-0.9837472,6.77846,4.154576,3.0931919,2.968471,-8.651786,0.8251256,4677.7144
40.0,0.0,0.55915177,0.7379325,-0.46463448,-0.9685407,6.7918525,4.138951,3.094029,2.970145,-8.655134,0.86007255,4761.143
40.0,0.0,0.54500324,0.741862,-0.42606607,-0.9781901,6.763021,4.1972656,3.0934246,2.9680989,-8.651042,0.86409503,4708.0
40.0,0.0,0.566755,0.7348633,-0.42864117,-0.9771903,6.738839,4.1657367,3.0931919,2.9737723,-8.65067,0.848005,4726.2856
40.0,0.0,0.5455497,0.7252372,-0.42731586,-0.9706334,6.7606025,4.1729913,3.0884488,2.9707031,-8.652902,0.86356026,4748.0
40.0,0.0,0.5633952,0.7338867,-0.4449056,-0.97347003,6.75,4.1660156,3.092448,2.9680989,-8.660156,0.8382161,4601.3335
40.0,0.0,0.5457589,0.7308175,-0.43376812,-0.96888953,6.772321,4.14202,3.090402,2.9628906,-8.651786,0.8588867,4597.7144
40.0,0.0,0.55454797,0.7518834,-0.3803711,-0.9781669,6.770089,4.142299,3.094029,2.9584262,-8.649553,0.8308454,4179.4287
40.0,0.0,0.55354816,0.7504883,-0.43395996,-0.9881999,6.7708335,4.136068,3.0957031,2.9667969,-8.6536455,0.86376953,4538.6665
40.0,0.0,0.5576172,0.74100167,-0.4527065,-0.9873744,6.7555804,4.1992188,3.0895648,2.967913,-8.66183,0.84598213,4408.5713
40.0,0.0,0.56856865,0.7370954,-0.44555664,-0.96051896,6.7572546,4.180804,3.094866,2.9754465,-8.6484375,0.84660995,4197.4287
40.0,0.0,0.5605469,0.73624676,-0.46305338,-0.96875,6.7669272,4.142904,3.0921223,2.9749348,-8.651042,0.8416341,4230.3335
40.0,0.0,0.5597331,0.75130206,-0.43815103,-0.9851074,6.763021,4.1790366,3.092448,2.9684246,-8.654948,0.86710614,4122.3335
40.0,0.0,0.56424385,0.7674386,-0.45490375,-0.9577288,6.7572546,4.1662946,3.0901227,2.969866,-8.646205,0.8469587,4002.5715
40.0,0.0,0.57177734,0.74886066,-0.45715332,-0.97054034,6.7871094,4.1627603,3.0898438,2.9602864,-8.654948,0.859375,4263.6665
40.0,0.0,0.5519206,0.7465007,-0.45711264,-0.97631836,6.7714844,4.143229,3.0927734,2.9680989,-8.647136,0.8445638,4157.0
40.0,0.0,0.5801595,0.7432454,-0.44543457,-0.96435547,6.7669272,4.1464844,3.0930989,2.961914,-8.649739,0.8531087,4235.0
40.0,0.0,0.54886883,0.7528483,-0.42248535,-0.9851074,6.7604165,4.1790366,3.0898438,2.9694011,-8.649739,0.8670247,4094.6667
40.0,0.0,0.5643136,0.7526507,-0.42686245,-0.97405136,6.754464,4.1595984,3.095145,2.9729352,-8.652902,0.8623047,4206.2856
40.0,0.0,0.5585124,0.75423175,-0.42740884,-0.97875977,6.780599,4.1614585,3.086914,2.9638672,-8.6484375,0.8324382,4210.6665
40.0,0.0,0.5680339,0.73063153,-0.4243571,-0.9788411,6.7623696,4.1653647,3.0953777,2.9690754,-8.641927,0.8414714,4146.0
40.0,0.0,0.5793457,0.74104816,-0.40970865,-0.97631836,6.7571616,4.1595054,3.0940754,2.9667969,-8.665364,0.8498535,3900.6667
40.0,0.0,0.5629476,0.7470703,-0.4514974,-0.9857585,6.779297,4.188151,3.0888672,2.9615886,-8.665364,0.83601886,4065.0
40.0,0.0,0.5760905,0.7455241,-0.46394858,-0.9791667,6.78125,4.1523438,3.0878906,2.9710286,-8.652344,0.85042316,3947.3333
40.0,0.0,0.5596517,0.73795575,-0.4752604,-0.9703776,6.7897134,4.1471353,3.0917969,2.9609375,-8.6484375,0.85457355,4169.3335
40.0,0.0,0.56513673,0.73408204,-0.4317383,-0.9919922,6.7429686,4.1246095,3.0945313,2.9617188,-8.651563,0.85898435,4143.6
40.0,0.0,0.54797363,0.74161786,-0.4477539,-0.97184247,6.751953,4.1347656,3.0979817,2.9694011,-8.647136,0.85253906,4092.3333
40.0,0.0,0.5773926,0.73673505,-0.4831543,-0.9733073,6.745443,4.1302085,3.0875652,2.9615886,-8.6484375,0.8570964,4248.3335
40.0,0.0,0.5623372,0.7429199,-0.39038086,-0.970459,6.7571616,4.1660156,3.0895183,2.9707031,-8.645833,0.83374023,4063.6667
40.0,0.0,0.5690918,0.748291,-0.45943198,-0.9683431,6.7910156,4.1757812,3.1002605,2.9736328,-8.654948,0.87158203,4228.0
40.0,0.0,0.5582031,0.7476562,-0.43447265,-0.96376956,6.7929688,4.2304688,3.0875,2.9628906,-8.659375,0.84902346,4300.4
40.0,0.0,0.55891925,0.7390137,-0.4240316,-0.9722493,6.7415366,4.1080728,3.0917969,2.963216,-8.647136,0.8771159,4209.6665
40.0,0.0,0.55859375,0.7520345,-0.45943198,-0.9592285,6.783854,4.15625,3.0921223,2.9671223,-8.641927,0.8404134,4054.0
40.0,0.0,0.5680664,0.7228516,-0.43623048,-0.9886719,6.766406,4.1320314,3.090625,2.9707031,-8.65625,0.8418945,4197.6
40.0,0.0,0.5736491,0.75065106,-0.41385904,-0.9720052,6.7415366,4.143229,3.09375,2.9707031,-8.647136,0.8395996,4204.3335
40.0,0.0,0.58569336,0.75341797,-0.4646403,-0.97770184,6.761068,4.1627603,3.086263,2.9622395,-8.65625,0.86083984,4180.3335
40.0,0.0,0.5828125,0.74726564,-0.4581543,-0.97402346,6.7570314,4.172656,3.085547,2.9742188,-8.646875,0.8552734,4282.4
40.0,0.0,0.570638,0.7648926,-0.4511312,-0.9842122,6.7591147,4.107422,3.086914,2.9746094,-8.649739,0.8445638,4036.0
40.0,0.0,0.5613281,0.7501953,-0.42773438,-0.9707031,6.784375,4.1789064,3.0964844,2.9726562,-8.65,0.8414062,4218.4
40.0,0.0,0.5663249,0.73844403,-0.46520996,-0.9761556,6.7864585,4.1992188,3.0976562,2.9654949,-8.65625,0.8536784,4162.3335
40.0,0.0,0.5663086,0.73349607,-0.45444337,-0.9693359,6.8085938,4.2359376,3.0914063,2.9617188,-8.65625,0.8591797,3751.2
40.0,0.0,0.57511395,0.74731445,-0.4741211,-0.98046875,6.792318,4.1165366,3.0787761,2.970052,-8.651042,0.85392255,3772.3333
