Frequencia CMB,Angulo CV-1,CV-1,CV-2,CV-3,PT-1,PT-2,PT-3,PT-4,PT-5,FT-1,FT-2,desconhecida
50.0,0.0,-0.47753906,-0.33007812,-0.55078125,-0.96240234,8.5703125,5.7265625,3.2285156,3.1054688,-8.6640625,0.8745117,4436.0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
50.0,0.0,-0.46520996,-0.32019043,-0.48156738,-0.95166016,8.5234375,5.626953,3.2265625,3.084961,-8.652344,0.96435547,3650.0
50.0,0.0,-0.44538227,-0.32345146,-0.47112164,-0.9490095,8.631697,5.595982,3.23298,3.0831473,-8.66183,0.9523577,4296.0
50.0,0.0,-0.45912388,-0.3226144,-0.48674664,-0.9428711,8.607142,5.6601562,3.2296317,3.0839844,-8.65625,0.933245,4303.7144
50.0,0.0,-0.457194,-0.32877603,-0.49796548,-0.94433594,8.634114,5.6575522,3.2294922,3.0927734,-8.651042,0.9494629,4092.3333
50.0,0.0,-0.4630999,-0.335519,-0.44356865,-0.94538224,8.589286,5.6640625,3.2327008,3.079241,-8.659598,0.9540318,4433.7144
50.0,0.0,-0.4347447,-0.32195172,-0.4691685,-0.94893974,8.608259,5.633929,3.217634,3.0842633,-8.6484375,0.93784875,3999.1428
50.0,0.0,-0.46732584,-0.324056,-0.4568278,-0.9366862,8.578125,5.6634116,3.2249348,3.0911458,-8.666667,0.9481608,4106.3335
50.0,0.0,-0.45075336,-0.318464,-0.4757952,-0.94873047,8.595983,5.5998883,3.2360492,3.0890067,-8.652902,0.9622628,4199.4287
50.0,0.0,-0.46058872,-0.314488,-0.447161,-0.94984657,8.512277,5.6595984,3.232143,3.0828683,-8.658483,0.94733536,4625.7144
50.0,0.0,-0.46142578,-0.33280435,-0.450236,-0.94710284,8.5598955,5.669271,3.2379558,3.0865886,-8.652344,0.93969727,4614.6665
50.0,0.0,-0.44726562,-0.32160297,-0.46271625,-0.9518694,8.546875,5.6439734,3.2324219,3.0873325,-8.65625,0.9504046,4107.7144
50.0,0.0,-0.46899414,-0.32990375,-0.4796317,-0.9444755,8.5546875,5.6573663,3.23577,3.0842633,-8.639509,0.9379883,4244.0
50.0,0.0,-0.45861816,-0.3487142,-0.45625815,-0.945638,8.514323,5.6751304,3.2324219,3.0908203,-8.651042,0.9340007,3954.3333
50.0,0.0,-0.45842633,-0.31727818,-0.49745396,-0.9465681,8.5234375,5.671317,3.236607,3.0853794,-8.649553,0.96296036,3784.0
50.0,0.0,-0.46041435,-0.3211147,-0.46439034,-0.94517297,8.59375,5.6668525,3.2251675,3.0867746,-8.651786,0.96407646,4303.7144
50.0,0.0,-0.46325684,-0.32014975,-0.44641113,-0.9458008,8.670573,5.6595054,3.2272136,3.0921223,-8.660156,0.9348958,4009.3333
50.0,0.0,-0.46264648,-0.3095703,-0.48165458,-0.94203407,8.607142,5.611607,3.23298,3.0856586,-8.657366,0.9584961,4161.7144
50.0,0.0,-0.45929828,-0.32066128,-0.46934292,-0.9501953,8.602678,5.671317,3.2301898,3.0887277,-8.649553,0.94545203,4310.2856
50.0,0.0,-0.47444662,-0.3183187,-0.46402994,-0.9499512,8.583333,5.658854,3.2324219,3.0927734,-8.652344,0.96972656,4439.6665
50.0,0.0,-0.46425083,-0.32470703,-0.44011578,-0.9463588,8.723214,5.6289062,3.2218192,3.0895648,-8.659598,0.9450335,4089.7144
50.0,0.0,-0.45141602,-0.327846,-0.4822475,-0.9446847,8.612723,5.651786,3.2246094,3.090402,-8.655134,0.9474749,4232.0
50.0,0.0,-0.4708252,-0.31982422,-0.4653727,-0.94262695,8.683594,5.688151,3.2138672,3.084961,-8.640625,0.95076495,4789.6665
50.0,0.0,-0.45148578,-0.33461216,-0.500558,-0.9430106,8.587053,5.6322546,3.2307477,3.0901227,-8.649553,0.9278041,4516.2856
50.0,0.0,-0.45738003,-0.31103516,-0.47799248,-0.94601005,8.646205,5.6166296,3.2248883,3.0873325,-8.651786,0.9630999,4676.0
50.0,0.0,-0.46480307,-0.34423828,-0.44185385,-0.94059247,8.604167,5.620443,3.2304688,3.083659,-8.644531,0.94091797,4595.0
50.0,0.0,-0.47757393,-0.32027763,-0.462786,-0.94168526,8.594866,5.6166296,3.2257254,3.0851004,-8.652902,0.953683,4636.0
50.0,0.0,-0.47098213,-0.3112793,-0.3988909,-0.9342913,8.668527,5.612165,3.2304688,3.0870535,-8.6484375,0.9558454,4644.0
50.0,0.0,-0.44189453,-0.32002768,-0.46594238,-0.94783527,8.569011,5.6002603,3.2249348,3.0908203,-8.651042,0.93806964,4502.0
50.0,0.0,-0.45138115,-0.34249443,-0.4924665,-0.9434291,8.563616,5.6367188,3.2226562,3.092913,-8.651786,0.9677037,4791.7144
50.0,0.0,-0.47143555,-0.3302874,-0.45399693,-0.9485212,8.546875,5.6623883,3.2212613,3.094029,-8.649553,0.95675224,4967.4287
50.0,0.0,-0.45292154,-0.31852213,-0.43078613,-0.94140625,8.526042,5.6464844,3.2265625,3.083659,-8.6536455,0.9536133,4742.3335
50.0,0.0,-0.46742466,-0.3170689,-0.45315987,-0.9407087,8.521205,5.637835,3.2307477,3.0890067,-8.649553,0.9342913,4857.7144
50.0,0.0,-0.47112164,-0.3155692,-0.47677177,-0.94538224,8.5078125,5.5898438,3.2193081,3.0892856,-8.65067,0.9315011,4634.857
50.0,0.0,-0.47631836,-0.32462564,-0.48913574,-0.9475911,8.4921875,5.6601562,3.2379558,3.0852864,-8.651042,0.92960614,4698.0
50.0,0.0,-0.43819755,-0.34127373,-0.44712612,-0.9413365,8.457589,5.6311383,3.2474887,3.0848215,-8.65625,0.9310826,4816.5713
50.0,0.0,-0.45410156,-0.31717354,-0.45821708,-0.9444057,8.479911,5.609933,3.235491,3.0884488,-8.652902,0.91768974,4573.143
50.0,0.0,-0.4630127,-0.31567383,-0.49198404,-0.9413249,8.5625,5.5611978,3.2347004,3.086914,-8.654948,0.9522298,4677.3335
50.0,0.0,-0.4638672,-0.3115932,-0.45553154,-0.94538224,8.627233,5.6646204,3.2279575,3.0845425,-8.658483,0.93003625,4376.5713
50.0,0.0,-0.45002094,-0.32523018,-0.4474749,-0.9394531,8.666295,5.55971,3.2363281,3.0786831,-8.652902,0.94245255,4270.2856
50.0,0.0,-0.4350179,-0.3264567,-0.47009277,-0.944987,8.709636,5.6653647,3.2272136,3.0852864,-8.660156,0.94466144,4246.0
50.0,0.0,-0.45186943,-0.31406948,-0.4306292,-0.9458705,8.675223,5.5987725,3.220982,3.0820312,-8.65067,0.9375,4193.4287
