Frequencia CMB,CV-1,PT-2
40.0,0.5671689,6.77629276
40.0,0.5690313459999999,6.7864211
40.0,0.566076078,6.7846353399999995
40.0,0.5639973859999999,6.784970199999999
40.0,0.5671200599999999,6.77946426
40.0,0.5667991880000001,6.77901784
40.0,0.5688918220000001,6.7712053
40.0,0.57183315,6.77444188
40.0,0.573267774,6.777585480000001
40.0,0.571230952,6.77457206
40.0,0.570631064,6.76765236
40.0,0.573446824,6.77581836
40.0,0.576236996,6.771130879999999
40.0,0.5723191099999999,6.76809894
40.0,0.570069518,6.77023806
40.0,0.570195072,6.77135418
40.0,0.569011564,6.7658667800000005
40.0,0.5666329320000001,6.772005180000001
40.0,0.5681954320000001,6.775130180000001
40.0,0.568798812,6.78203122
40.0,0.572756218,6.78119418
40.0,0.572909686,6.775279040000001
40.0,0.570747306,6.77081484
40.0,0.56655972,6.77059158
40.0,0.5679687600000001,6.76210942
40.0,0.563997406,6.763950939999999
40.0,0.561397886,6.768843079999999
40.0,0.5645159059999999,6.77018228
40.0,0.569289426,6.76705728
40.0,0.571158846,6.77189364
40.0,0.57033574,6.768322239999999
40.0,0.57032644,6.769233679999999
40.0,0.566050488,6.7628534799999995
40.0,0.568533748,6.760174879999999
40.0,0.5675013879999999,6.759133200000001
40.0,0.568877876,6.762295399999999
40.0,0.565892384,6.764081160000001
40.0,0.56581565,6.76700156
40.0,0.5607398499999999,6.77176346
40.0,0.55959587,6.770870619999999
40.0,0.5557779820000001,6.77641376
40.0,0.559114568,6.772284260000001
40.0,0.559519154,6.77362356
40.0,0.559251774,6.776897460000001
40.0,0.565252982,6.780003859999999
40.0,0.5664527619999999,6.77263776
40.0,0.562516288,6.7760976
40.0,0.562147748,6.77587434
40.0,0.5602783280000001,6.76817338
40.0,0.5539422999999999,6.766406259999999
40.0,0.5556489600000001,6.76341142
40.0,0.55887162,6.761960480000001
40.0,0.55699406,6.75961674
40.0,0.55945639,6.76261158
40.0,0.5638648700000001,6.760937459999999
40.0,0.56338589,6.76627606
40.0,0.56110491,6.765048419999999
40.0,0.56372767,6.765941239999999
40.0,0.5606793999999999,6.76685266
40.0,0.558651868,6.76495534
40.0,0.557312568,6.763504419999999
40.0,0.564253142,6.768638319999999
40.0,0.567894334,6.769438200000001
40.0,0.5754975659999999,6.77033102
40.0,0.573618858,6.772005060000001
40.0,0.574965126,6.774888300000001
40.0,0.569733542,6.77310264
40.0,0.5662318639999999,6.778217939999999
40.0,0.55764044,6.77524182
40.0,0.5584495799999999,6.768991819999999
40.0,0.5550106920000001,6.766554999999999
40.0,0.5559709820000001,6.7608630000000005
40.0,0.5532924080000001,6.756956700000001
40.0,0.555201354,6.7583703
40.0,0.552559986,6.764769199999999
40.0,0.5549734860000001,6.76376478
40.0,0.556008176,6.765215700000001
40.0,0.558965776,6.76413694
40.0,0.560002802,6.762723340000001
40.0,0.56214194,6.76000756
40.0,0.5649739680000001,6.766313360000001
40.0,0.561644358,6.76915932
40.0,0.565566878,6.76915932
