Time,Frequencia CMB,CV-1,CV-2,CV-3,PT-1,PT-2,PT-3,PT-4,PT-5,FT-1,FT-2
2024-03-20 10:41:29,33.0,0.574428,0.74441963,-0.41723633,-0.5915876,5.575893,3.3297992,3.1177456,2.9771206,-8.651786,0.8454241
2024-03-20 10:41:30,33.0,0.58235675,0.7526042,-0.4637858,-0.6101074,5.5729165,3.305013,3.1220703,2.9746094,-8.654948,0.8404948
2024-03-20 10:41:31,33.0,0.5618722,0.74316406,-0.4238979,-0.6109794,5.5552454,3.2862723,3.1196988,2.9776785,-8.658483,0.87841797
2024-03-20 10:41:32,33.0,0.57575333,0.7519531,-0.4931292,-0.5953544,5.5859375,3.2569754,3.1169086,2.9760044,-8.646205,0.8659319
2024-03-20 10:41:33,33.0,0.5664876,0.7385254,-0.44848633,-0.6092122,5.5729165,3.2666016,3.117513,2.9824219,-8.6588545,0.85636395
2024-03-20 10:41:34,33.0,0.55915177,0.7626256,-0.4033203,-0.5520368,5.5747766,3.2561383,3.1152344,2.9827008,-8.652902,0.8135463
2024-03-20 10:41:35,33.0,0.56424385,0.7497907,-0.43554688,-0.6142578,5.560268,3.262277,3.1155133,2.9790738,-8.651786,0.8378209
2024-03-20 10:41:36,33.0,0.5620931,0.73966473,-0.40498862,-0.59383136,5.5690103,3.258789,3.1123047,2.9853516,-8.651042,0.84855145
2024-03-20 10:41:37,33.0,0.55538505,0.7434431,-0.42393276,-0.55726844,5.5686383,3.2407925,3.1155133,2.9804688,-8.652902,0.8709542
2024-03-20 10:41:38,33.0,0.5565709,0.7414202,-0.44705635,-0.5901925,5.5820312,3.2681363,3.1130023,2.984096,-8.651786,0.85407364
2024-03-20 10:41:39,33.0,0.560791,0.7561849,-0.4552002,-0.64331055,5.5794272,3.3203125,3.1074219,2.976888,-8.657552,0.8622233
2024-03-20 10:41:40,33.0,0.56529015,0.7438616,-0.4431501,-0.6023995,5.5731025,3.264788,3.1149554,2.9765625,-8.652902,0.84702843
2024-03-20 10:41:41,33.0,0.558245,0.7424665,-0.42595562,-0.60728234,5.560826,3.2639508,3.1177456,2.9748883,-8.6484375,0.8410993
2024-03-20 10:41:42,33.0,0.54711914,0.73828125,-0.4152832,-0.58463544,5.5553384,3.2516277,3.1116536,2.976237,-8.6536455,0.82421875
2024-03-20 10:41:43,33.0,0.5666155,0.7435826,-0.46299526,-0.5530831,5.578125,3.2859933,3.1113281,2.9827008,-8.649553,0.8666295
2024-03-20 10:41:44,33.0,0.5417829,0.73339844,-0.4306292,-0.6110491,5.578683,3.3175223,3.1213727,2.9746094,-8.65067,0.860212
2024-03-20 10:41:45,33.0,0.5413411,0.74869794,-0.42134604,-0.5808919,5.5898438,3.2604167,3.1129558,2.9814453,-8.6536455,0.8679199
2024-03-20 10:41:46,33.0,0.5531529,0.7470006,-0.4051688,-0.5832171,5.566964,3.251116,3.1065848,2.9785156,-8.655134,0.8417969
2024-03-20 10:41:47,33.0,0.5461077,0.72858536,-0.4096331,-0.5872628,5.5530133,3.2382812,3.1149554,2.98298,-8.655134,0.8518415
2024-03-20 10:41:48,33.0,0.5557454,0.73217773,-0.44596353,-0.6225586,5.5703125,3.2239583,3.1126301,2.9791667,-8.654948,0.8376465
2024-03-20 10:41:49,33.0,0.5660575,0.74714005,-0.47917828,-0.57205635,5.578125,3.2818081,3.1166294,2.98298,-8.654017,0.8580497
2024-03-20 10:41:50,33.0,0.55678016,0.7424665,-0.46289062,-0.6422294,5.5725446,3.266741,3.112723,2.9746094,-8.662947,0.84228516
2024-03-20 10:41:51,33.0,0.57820636,0.7222493,-0.47338867,-0.6072591,5.5429688,3.2145183,3.1178386,2.9833984,-8.654948,0.86661786
2024-03-20 10:41:52,33.0,0.5649414,0.738072,-0.4046631,-0.5961914,5.5625,3.2285156,3.1138394,2.983259,-8.659598,0.84277344
2024-03-20 10:41:53,33.0,0.5528739,0.7407924,-0.44137138,-0.6132115,5.5697546,3.266741,3.1160715,2.9818637,-8.660714,0.8650251
2024-03-20 10:41:54,33.0,0.55940753,0.7328288,-0.4420166,-0.59594727,5.567057,3.3089192,3.116211,2.976888,-8.649739,0.83846027
2024-03-20 10:41:55,33.0,0.5705218,0.7446289,-0.4169922,-0.5549665,5.580915,3.280134,3.1043527,2.985212,-8.652902,0.81256974
2024-03-20 10:41:56,33.0,0.5686384,0.7432338,-0.45574078,-0.63162667,5.5524554,3.2416294,3.1141183,2.9910715,-8.658483,0.8428432
2024-03-20 10:41:57,33.0,0.56119794,0.76188153,-0.47070312,-0.58532715,5.5585938,3.241211,3.1214192,2.9820964,-8.644531,0.8428548
2024-03-20 10:41:58,33.0,0.5510951,0.7391881,-0.42211914,-0.5796596,5.5814734,3.2212613,3.1169086,2.98298,-8.654017,0.855678
2024-03-20 10:41:59,33.0,0.55217636,0.7409319,-0.44081333,-0.60407364,5.577567,3.249721,3.1160715,2.9754465,-8.649553,0.84409875
2024-03-20 10:42:00,33.0,0.55167645,0.732666,-0.45572916,-0.60253906,5.5709634,3.244466,3.116211,2.9847004,-8.647136,0.8567708
2024-03-20 10:42:01,33.0,0.55782646,0.7408622,-0.45846123,-0.5883789,5.584821,3.2569754,3.1155133,2.983538,-8.654017,0.8461914
2024-03-20 10:42:02,33.0,0.56640625,0.7203544,-0.42592075,-0.6032715,5.5697546,3.2901785,3.1074219,2.983259,-8.647322,0.8361468
2024-03-20 10:42:03,33.0,0.5501302,0.7434082,-0.4193522,-0.59313965,5.589193,3.2965496,3.118164,2.9866536,-8.6640625,0.8619792
2024-03-20 10:42:04,33.0,0.5554548,0.74776787,-0.49588448,-0.5910993,5.56529,3.265904,3.1166294,2.9782367,-8.66183,0.8712333
2024-03-20 10:42:05,33.0,0.56180245,0.7437221,-0.43561664,-0.60191125,5.5507812,3.2580914,3.1163504,2.9782367,-8.65625,0.86251396
2024-03-20 10:42:06,33.0,0.5752767,0.7543132,-0.42456055,-0.56140137,5.576172,3.2773438,3.1184895,2.978841,-8.65625,0.84399414
2024-03-20 10:42:07,33.0,0.5613839,0.7541155,-0.41535297,-0.5915876,5.5708704,3.2896206,3.1208148,2.9718192,-8.657366,0.8501674
2024-03-20 10:42:08,33.0,0.5657087,0.75544083,-0.39092144,-0.6185128,5.5708704,3.219029,3.125,2.984096,-8.643973,0.8580497
2024-03-20 10:42:09,33.0,0.57145184,0.74454755,-0.47098795,-0.59903973,5.5677085,3.2822266,3.1103516,2.9860027,-8.6484375,0.86938477
2024-03-20 10:42:10,33.0,0.55371094,0.7569057,-0.45396206,-0.60518974,5.558036,3.2712054,3.1057477,2.9827008,-8.655134,0.85546875
2024-03-20 10:42:11,33.0,0.56591797,0.7475586,-0.41580635,-0.5901925,5.564732,3.2268414,3.1138394,2.9754465,-8.649553,0.8510742
2024-03-20 10:42:12,33.0,0.5834961,0.75187176,-0.4058838,-0.600179,5.5839844,3.258138,3.1103516,2.9794922,-8.651042,0.8671875
2024-03-20 10:42:13,33.0,0.5641044,0.7350028,-0.4165039,-0.5905413,5.5703125,3.2580914,3.1141183,2.9807477,-8.639509,0.8478655
2024-03-20 10:42:14,33.0,0.5631278,0.7478376,-0.44339424,-0.5907506,5.564732,3.1992188,3.1180246,2.9799106,-8.65067,0.84381974
2024-03-20 10:42:15,33.0,0.56062824,0.755778,-0.4198812,-0.599528,5.561849,3.2594402,3.1097004,2.9847004,-8.6484375,0.8680013
2024-03-20 10:42:16,33.0,0.54234093,0.7602539,-0.44342914,-0.6108747,5.5719867,3.2237723,3.1169086,2.9796317,-8.65625,0.8659319
2024-03-20 10:42:17,33.0,0.55078125,0.7359096,-0.42843193,-0.5726144,5.540179,3.2578125,3.1169086,2.9804688,-8.647322,0.86572266
2024-03-20 10:42:18,33.0,0.55940753,0.7303874,-0.43562827,-0.5839844,5.5690103,3.2584636,3.116862,2.9847004,-8.645833,0.8434245
2024-03-20 10:42:19,33.0,0.5562919,0.738351,-0.4365583,-0.58907646,5.576451,3.2848773,3.1219308,2.9746094,-8.646205,0.8464007
2024-03-20 10:42:20,33.0,0.5544085,0.74762833,-0.38495746,-0.59409875,5.578125,3.2848773,3.1199777,2.9782367,-8.654017,0.85414344
2024-03-20 10:42:21,33.0,0.5590007,0.7498372,-0.46728516,-0.5939128,5.5872397,3.2526042,3.1230469,2.9798176,-8.649739,0.85424805
2024-03-20 10:42:22,33.0,0.547712,0.7511161,-0.4405692,-0.5943778,5.5524554,3.2541852,3.1230469,2.9880023,-8.652902,0.86195594
2024-03-20 10:42:23,33.0,0.562221,0.7591378,-0.44049945,-0.5910296,5.576451,3.2140067,3.1152344,2.985212,-8.65625,0.8419364
2024-03-20 10:42:24,33.0,0.5657552,0.7483724,-0.42358398,-0.5795085,5.5813804,3.2770183,3.1158855,2.9811199,-8.667969,0.84488934
2024-03-20 10:42:25,33.0,0.57575333,0.7448382,-0.43028042,-0.58279854,5.569196,3.2304688,3.1171875,2.9827008,-8.655134,0.87290734
