time,frequency,pt_k_1,pt_k_2,angle,angle_error,model,time
2024-04-14 22:52:51.495966,30.0,0.0,0.0,45.0,0.5,MLP,
2024-04-14 22:52:58.174377,31.152736828728212,0.0,0.0,45.0,-3.7135945111913813,MLP,2024-04-14 22:52:58.174377
