time,pressure_set_point,pressure_predicted,error,delta_error,frequency,delta_frequency,pt_k_1,pt_k_2,angle_set_point,angle,angle_error,model,time
2024-04-20 11:07:09.735913,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,0.5,MLP,
2024-04-20 11:07:34.917139,6.0,3.9889987383458374,2.0110012616541626,2.0110012616541626,30.0,1.605153415938401,0.0,0.0,30.0,31.006091235143025,1.0661390937059352,MLP,2024-04-20 11:07:34.917139
2024-04-20 11:07:36.089110,6.0,3.807036311884296,2.192963688115704,0.1819624264615416,31.597975888647007,1.597975888647006,3.9889987383458374,0.0,30.0,30.04137323246519,-0.0034405048032510877,MLP,2024-04-20 11:07:36.089110
2024-04-20 11:07:36.596345,6.0,4.339586533516323,1.6604134664836767,-0.5325502216320275,33.20361432149909,1.6056384328520839,3.807036311884296,3.9889987383458374,30.0,31.061095078754153,1.2579160712389879,MLP,2024-04-20 11:07:36.596345
2024-04-20 11:07:37.113959,6.0,4.29188185745548,1.70811814254452,0.047704676060843276,34.80853523188682,1.6049209103877335,4.339586533516323,3.807036311884296,30.0,30.83758378046715,0.7052773435884525,MLP,2024-04-20 11:07:37.113959
2024-04-20 11:07:38.139190,6.0,4.5451332417245505,1.4548667582754495,-0.25325138426907046,36.35856908715249,1.550033855265669,4.29188185745548,4.339586533516323,30.0,30.76543788516456,0.8483368323026745,MLP,2024-04-20 11:07:38.139190
2024-04-20 11:07:38.639951,6.0,4.5559291546533105,1.4440708453466895,-0.010795912928760032,37.89458342701432,1.5360143398618304,4.5451332417245505,4.29188185745548,30.0,30.940116096339633,0.7270940569314028,MLP,2024-04-20 11:07:38.639951
2024-04-20 11:07:39.679205,6.0,4.773033184993029,1.2269668150069712,-0.21710403033971826,39.135562924981755,1.2409794979674391,4.5559291546533105,4.5451332417245505,30.0,30.104480679478517,0.3108710057233317,MLP,2024-04-20 11:07:39.679205
2024-04-20 11:07:40.182060,6.0,4.8135344772468205,1.1864655227531795,-0.04050129225379173,40.32144833984412,1.1858854148623599,4.773033184993029,4.5559291546533105,30.0,29.642397159726585,-0.29472780456485026,MLP,2024-04-20 11:07:40.182060
2024-04-20 11:07:40.684178,6.0,5.002483614674806,0.997516385325194,-0.18894913742798547,41.250576435207925,0.9291280953638057,4.8135344772468205,4.773033184993029,30.0,29.903591670303975,-0.061855783197195535,MLP,2024-04-20 11:07:40.684178
2024-04-20 11:07:41.676890,6.0,5.060433358781075,0.9395666412189252,-0.05794974410626885,42.09755680051739,0.8469803653094634,5.002483614674806,4.8135344772468205,30.0,30.390661373987186,0.5986548751614755,MLP,2024-04-20 11:07:41.676890
2024-04-20 11:07:42.187170,6.0,5.2326789246195675,0.7673210753804325,-0.1722455658384927,42.675242331999584,0.5776855314821944,5.060433358781075,5.002483614674806,30.0,30.14491844105938,0.11728854855697435,MLP,2024-04-20 11:07:42.187170
2024-04-20 11:07:42.690074,6.0,5.311956390872168,0.6880436091278321,-0.07927746625260035,43.10917422763406,0.43393189563447143,5.2326789246195675,5.060433358781075,30.0,30.988613921008028,0.778571960516242,MLP,2024-04-20 11:07:42.690074
2024-04-20 11:07:43.210636,6.0,5.472079057379973,0.5279209426200273,-0.16012266650780482,43.185095308983115,0.07592108134905577,5.311956390872168,5.2326789246195675,30.0,29.517331944773893,-0.7681095609659181,MLP,2024-04-20 11:07:43.210636
2024-04-20 11:07:43.706300,6.0,5.559260950079798,0.44073904992020196,-0.08718189269982535,43.185095308983115,3.1927654373419754e-18,5.472079057379973,5.311956390872168,30.0,28.82768000264513,-0.9048767563227003,MLP,2024-04-20 11:07:43.706300
2024-04-20 11:07:44.204146,6.0,5.704028590886664,0.29597140911333586,-0.1447676408068661,43.185095308983115,1.2887177466648622e-17,5.559260950079798,5.472079057379973,30.0,28.988167584004238,-1.0688056214226016,MLP,2024-04-20 11:07:44.204146
2024-04-20 11:07:44.702538,6.0,5.795361403411853,0.20463859658814698,-0.09133281252518888,43.185095308983115,3.0179357213145517e-18,5.704028590886664,5.559260950079798,30.0,30.449152765080754,0.36542139623500347,MLP,2024-04-20 11:07:44.702538
2024-04-20 11:07:45.235297,6.0,5.927905174625659,0.0720948253743412,-0.13254377121380578,43.185095308983115,1.2700098081496199e-17,5.795361403411853,5.704028590886664,30.0,30.520919992063938,0.24146677321157384,MLP,2024-04-20 11:07:45.235297
2024-04-20 11:07:45.712356,6.0,6.021128035478532,-0.021128035478532148,-0.09322286085287335,43.185095308983115,3.0221946295530067e-18,5.927905174625659,5.795361403411853,30.0,31.07269376349025,1.1113062986376363,MLP,2024-04-20 11:07:45.712356
2024-04-20 11:07:46.762217,6.0,6.14371204251995,-0.14371204251995007,-0.12258400704141792,43.185095308983115,1.256274868826261e-17,6.021128035478532,5.927905174625659,30.0,29.220936044284386,-1.0341869716542078,MLP,2024-04-20 11:07:46.762217
2024-04-20 11:07:47.278982,6.0,6.2372356582112785,-0.23723565821127846,-0.09352361569132839,43.185095308983115,3.022873439153361e-18,6.14371204251995,6.021128035478532,30.0,30.328246107124166,0.26891290589896144,MLP,2024-04-20 11:07:47.278982
2024-04-20 11:07:47.788348,6.0,6.351544774960256,-0.3515447749602556,-0.11430911674897715,43.185095308983115,3.086688963483918e-18,6.2372356582112785,6.14371204251995,30.0,30.07390809943512,-0.02398957587032058,MLP,2024-04-20 11:07:47.788348
2024-04-20 11:07:48.281485,6.0,6.4442599099030495,-0.44425990990304953,-0.09271513494279393,43.185095308983115,3.197699149667543e-18,6.351544774960256,6.2372356582112785,30.0,29.037326429438444,-1.0747283912177572,MLP,2024-04-20 11:07:48.281485
2024-04-20 11:07:48.782186,6.0,6.551557162951183,-0.5515571629511831,-0.10729725304813353,43.04867737210047,-0.13641793688264436,6.4442599099030495,6.351544774960256,30.0,28.856056919273044,-1.1595746182226385,MLP,2024-04-20 11:07:48.782186
2024-04-20 11:07:49.288519,6.0,6.640398058147001,-0.6403980581470012,-0.08884089519581817,42.710140815896544,-0.33853655620392703,6.551557162951183,6.4442599099030495,30.0,30.75377609934895,0.48189545151852897,MLP,2024-04-20 11:07:49.288519
2024-04-20 11:07:50.318639,6.0,6.735931736641573,-0.7359317366415734,-0.09553367849457217,42.18743717566833,-0.5227036402282184,6.640398058147001,6.551557162951183,30.0,29.03387668310893,-1.1415109353784452,MLP,2024-04-20 11:07:50.318639
2024-04-20 11:07:50.818288,6.0,6.812202732483959,-0.8122027324839589,-0.0762709958423855,41.53480161431159,-0.6526355613567373,6.735931736641573,6.640398058147001,30.0,30.007996247513496,0.1375389822124049,MLP,2024-04-20 11:07:50.818288
