,time,pressure_set_point,pressure_predicted,error,delta_error,frequency,delta_frequency,pt_k_1,pt_k_2,angle_set_point,angle,angle_error,model
0,2024-04-15 08:54:32.574544,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,0.5,MLP
1,2024-04-15 08:59:12.592581,10.0,3.988998738345837,6.011001261654163,6.011001261654163,1.605748478788593,1.605748478788593,0.0,0.0,30.0,30.0,0.0600869419226448,MLP
2,2024-04-15 08:59:13.057579,10.0,4.002513302538335,5.997486697461665,-0.0135145641924978,4.0457341015875095,2.439985622798916,3.988998738345837,0.0,30.0,30.0,-0.1301048851144806,MLP
3,2024-04-15 08:59:13.574342,10.0,4.642673749099374,5.357326250900626,5.370840815093124,5.64080763961024,1.5950735380227306,4.002513302538335,3.988998738345837,30.0,30.0,0.0177117574229619,MLP
4,2024-04-15 08:59:14.076946,10.0,4.656766826183045,5.343233173816955,-0.0276076412761687,7.5067098562430274,1.865902216632788,4.642673749099374,4.002513302538335,30.0,30.0,-0.2958711740905997,MLP
5,2024-04-15 08:59:14.579098,10.0,5.119593308736706,4.880406691263294,4.908014332539463,9.0955881797346,1.5888783234915729,4.656766826183045,4.642673749099374,30.0,30.0,-0.2686358109355389,MLP
6,2024-04-15 08:59:15.087810,10.0,5.066330956348049,4.933669043651951,0.0256547111124874,10.685076353423826,1.5894881736892263,5.119593308736706,4.656766826183045,30.0,30.0,-0.201680150948448,MLP
7,2024-04-15 08:59:15.612903,10.0,5.448442314215827,4.551557685784173,4.525902974671686,12.270786537407805,1.5857101839839771,5.066330956348049,5.119593308736706,30.0,30.0,0.1018107382369493,MLP
8,2024-04-15 08:59:16.111334,10.0,5.3876071921492334,4.612392807850767,0.0864898331790806,13.857000212524522,1.5862136751167184,5.448442314215827,5.066330956348049,30.0,30.0,-0.0737486891099195,MLP
9,2024-04-15 08:59:16.611842,10.0,5.727027891896188,4.272972108103812,4.186482274924732,15.440961781406568,1.5839615688820454,5.3876071921492334,5.448442314215827,30.0,30.0,0.2358691922489768,MLP
10,2024-04-15 08:59:17.122894,10.0,5.670143545754098,4.329856454245902,0.14337417932117,17.029617145127983,1.588655363721415,5.727027891896188,5.3876071921492334,30.0,30.0,0.2850640468087952,MLP
11,2024-04-15 08:59:17.627648,10.0,5.952243679079532,4.047756320920468,3.9043821415992976,18.612968064221768,1.5833509190937844,5.670143545754098,5.727027891896188,30.0,30.0,0.255664003018424,MLP
12,2024-04-15 08:59:18.159926,10.0,5.913550868429017,4.086449131570983,0.1820669899716858,20.20439744786302,1.5914293836412523,5.952243679079532,5.670143545754098,30.0,30.0,-0.0132591097373833,MLP
13,2024-04-15 08:59:18.668652,10.0,6.084451481626725,3.915548518373275,3.733481528401589,21.78777474852555,1.583377300662531,5.913550868429017,5.952243679079532,30.0,30.0,-0.0417505523169339,MLP
14,2024-04-15 08:59:19.181709,10.0,6.054050449533176,3.945949550466824,0.2124680220652344,23.38166711163516,1.5938923631096105,6.084451481626725,5.913550868429017,30.0,30.0,-0.2620815104059417,MLP
15,2024-04-15 08:59:19.700229,10.0,6.146926561976122,3.853073438023878,3.6406054159586434,24.96513769046798,1.5834705788328205,6.054050449533176,6.084451481626725,30.0,30.0,0.27239821242879,MLP
16,2024-04-15 08:59:20.214188,10.0,6.113924737145734,3.8860752628542654,0.2454698468956229,26.561936386294857,1.5967986958268776,6.146926561976122,6.054050449533176,30.0,30.0,-0.1196077465432168,MLP
17,2024-04-15 08:59:20.720202,10.0,6.164574439079904,3.835425560920096,3.589955714024473,28.14544261431717,1.5835062280223122,6.113924737145734,6.146926561976122,30.0,30.0,0.2482576040132151,MLP
18,2024-04-15 08:59:21.222111,10.0,6.132614656103182,3.867385343896818,0.2774296298723451,29.745265512061746,1.5998228977445772,6.164574439079904,6.113924737145734,30.0,30.0,0.0352880397467529,MLP
19,2024-04-15 08:59:21.739771,10.0,6.150621139334535,3.849378860665465,3.57194923079312,31.328742800500617,1.5834772884388704,6.132614656103182,6.164574439079904,30.0,30.0,0.1031489662444045,MLP
20,2024-04-15 08:59:22.245898,10.0,6.14741452502346,3.85258547497654,0.2806362441834205,32.92888444087537,1.6001416403747544,6.150621139334535,6.132614656103182,30.0,30.0,-0.2608243546979878,MLP
21,2024-04-15 08:59:22.753477,10.0,6.188597456379461,3.811402543620539,3.5307662994371185,34.512444233751665,1.5835597928762963,6.14741452502346,6.150621139334535,30.0,30.0,0.0074700441084978,MLP
22,2024-04-15 08:59:23.271655,10.0,6.216981957823777,3.783018042176223,0.2522517427391042,36.10987508558181,1.5974308518301503,6.188597456379461,6.14741452502346,30.0,30.0,0.2886477154925018,MLP
23,2024-04-15 08:59:23.786446,10.0,6.28048542568531,3.71951457431469,3.467262831575586,37.693700685564615,1.5838255999828006,6.216981957823777,6.188597456379461,30.0,30.0,-0.2223914344078821,MLP
24,2024-04-15 08:59:24.310568,10.0,6.337692086152481,3.662307913847519,0.1950450822719327,39.286153711665925,1.592453026101307,6.28048542568531,6.216981957823777,30.0,30.0,0.2405110559248662,MLP
25,2024-04-15 08:59:24.833151,10.0,6.42305687345438,3.57694312654562,3.3818980442736875,40.870569750350064,1.5844160386841395,6.337692086152481,6.28048542568531,30.0,30.0,0.004905693925199,MLP
26,2024-04-15 08:59:25.327566,10.0,6.505359495005608,3.4946405049943925,0.112742460720705,42.457356985053615,1.586787234703548,6.42305687345438,6.337692086152481,30.0,30.0,-0.0167283502828325,MLP
27,2024-04-15 08:59:25.846604,10.0,6.610896775295377,3.389103224704624,3.2763607639839183,44.042848612460354,1.5854916274067363,6.505359495005608,6.42305687345438,30.0,30.0,0.245797080091858,MLP
28,2024-04-15 08:59:26.353076,10.0,6.716818533096671,3.283181466903329,0.0068207029194109,45.62908040325203,1.586231790791681,6.610896775295377,6.505359495005608,30.0,30.0,0.2420494493116152,MLP
29,2024-04-15 08:59:26.858195,10.0,6.842200602177572,3.157799397822428,3.150978694903017,47.21629937174645,1.587218968494421,6.716818533096671,6.610896775295377,30.0,30.0,0.245590614772194,MLP
30,2024-04-15 08:59:27.367357,10.0,6.970411994553565,3.029588005446435,-0.1213906894565823,48.8046455819163,1.5883462101698462,6.842200602177572,6.716818533096671,30.0,30.0,-0.2874867264491669,MLP
31,2024-04-15 08:59:27.876861,10.0,7.115247188418531,2.8847528115814693,3.006143501038052,50.394393650659296,1.5897480687429963,6.970411994553565,6.842200602177572,30.0,30.0,-0.2474547385201724,MLP
32,2024-04-15 08:59:28.379003,10.0,7.264595501484202,2.735404498515797,-0.2707390025222542,51.99357147987609,1.5991778292167915,7.115247188418531,6.970411994553565,30.0,30.0,0.0808066634465589,MLP
33,2024-04-15 08:59:28.903032,10.0,7.42855539728694,2.5714446027130604,2.8421836052353147,53.58675968841994,1.5931882085438491,7.264595501484202,7.115247188418531,30.0,30.0,-0.0082820110913104,MLP
34,2024-04-15 08:59:29.410783,10.0,7.598033803016781,2.401966196983219,-0.4402174082520957,55.1966653498289,1.6099056614089575,7.42855539728694,7.264595501484202,30.0,30.0,-0.147151081814961,MLP
35,2024-04-15 08:59:29.923021,10.0,7.78071308240869,2.21928691759131,2.6595043258434057,56.79428892852216,1.5976235786932589,7.598033803016781,7.42855539728694,30.0,30.0,-0.2961008419138942,MLP
36,2024-04-15 08:59:30.435187,10.0,8.000774355664158,1.9992256443358425,-0.6602786815075632,58.39494363060129,1.6006547020791315,7.78071308240869,7.598033803016781,30.0,30.0,-0.2805842253806005,MLP
37,2024-04-15 08:59:30.936493,10.0,8.234804020305633,1.7651959796943668,2.42547466120193,59.99901429888662,1.6040706682853343,8.000774355664158,7.78071308240869,30.0,30.0,0.0144631391019771,MLP
38,2024-04-15 08:59:31.456993,10.0,8.505024157849716,1.494975842150284,-0.930498819051646,61.60073426751587,1.6017199686292445,8.234804020305633,8.000774355664158,30.0,30.0,-0.095502314072366,MLP
39,2024-04-15 08:59:31.965991,10.0,8.793063211091495,1.2069367889085054,2.1374356079601515,62.81444984729842,1.2137155797825538,8.505024157849716,8.234804020305633,30.0,30.0,0.0120221486683931,MLP
40,2024-04-15 08:59:32.483542,10.0,9.105393337916563,0.8946066620834348,-1.2428289458767168,63.59536106204065,0.7809112147422325,8.793063211091495,8.505024157849716,30.0,30.0,0.1843937254885119,MLP
41,2024-04-15 08:59:32.991318,10.0,9.424134537415124,0.5758654625848774,1.818694408461594,63.827069378607234,0.231708316566584,9.105393337916563,8.793063211091495,30.0,30.0,0.2170928160368639,MLP
42,2024-04-15 08:59:33.506666,10.0,9.75135077110698,0.2486492288930186,-1.5700451795685757,63.827069378607234,3.409693483952857e-18,9.424134537415124,9.105393337916563,30.0,30.0,0.0871993203230694,MLP
43,2024-04-15 08:59:34.020418,10.0,10.080918426140355,-0.0809184261403554,1.48912675342822,63.827069378607234,3.2642374763354895e-18,9.75135077110698,9.424134537415124,30.0,30.0,0.0862958553412553,MLP
44,2024-04-15 08:59:34.547581,10.0,10.41899489189608,-0.4189948918960802,-1.9081216453243,63.827069378607234,1.162216571263128e-17,10.080918426140355,9.75135077110698,30.0,30.0,0.1870999234439487,MLP
45,2024-04-15 08:59:35.063938,10.0,10.760326840132567,-0.7603268401325689,1.1477948051917313,63.26139748060364,-0.5656718980035902,10.41899489189608,10.080918426140355,30.0,30.0,-0.2209058165795276,MLP
46,2024-04-15 08:59:35.565459,10.0,11.09333970112903,-1.093339701129031,-2.241134506320762,62.201158404869936,-1.060239075733707,10.760326840132567,10.41899489189608,30.0,30.0,0.1003995321865431,MLP
47,2024-04-15 08:59:36.085050,10.0,11.416163548745295,-1.4161635487452973,0.8249709575754647,60.70187637506528,-1.4992820298046643,11.09333970112903,10.760326840132567,30.0,30.0,0.2843579047511362,MLP
48,2024-04-15 08:59:36.601144,10.0,11.715565888738915,-1.715565888738917,-2.5405368463143816,59.09706884641016,-1.6048075286551176,11.416163548745295,11.09333970112903,30.0,30.0,0.1086302528414329,MLP
49,2024-04-15 08:59:37.129160,10.0,11.990867597281122,-1.990867597281122,0.5496692490332595,57.49496759995731,-1.6021012464528483,11.715565888738915,11.416163548745295,30.0,30.0,0.058338028301982,MLP
50,2024-04-15 08:59:37.636591,10.0,12.24444165520005,-2.244441655200051,-2.7941109042333103,55.89767712358,-1.5972904763773146,11.990867597281122,11.715565888738915,30.0,30.0,0.1398995592941503,MLP
51,2024-04-15 08:59:38.155620,10.0,12.474492875909185,-2.474492875909185,0.3196180283241254,54.29357134304578,-1.6041057805342114,12.24444165520005,11.990867597281122,30.0,30.0,-0.0274440953959143,MLP
52,2024-04-15 08:59:38.679258,10.0,12.629987079962826,-2.629987079962825,-2.949605108286951,52.701061814514,-1.592509528531783,12.474492875909185,12.24444165520005,30.0,30.0,0.2080654669397041,MLP
53,2024-04-15 08:59:39.178414,10.0,12.652306897818804,-2.652306897818804,0.2972982104681474,51.09926300610405,-1.6017988084099457,12.629987079962826,12.474492875909185,30.0,30.0,0.0479893805908488,MLP
54,2024-04-15 08:59:39.694730,10.0,12.630865269718122,-2.6308652697181216,-2.928163480186269,49.50676391029555,-1.592499095808505,12.652306897818804,12.629987079962826,30.0,30.0,0.1221142692010168,MLP
55,2024-04-15 08:59:40.202448,10.0,12.49598768407688,-2.49598768407688,0.432175796109389,47.89625418985798,-1.610509720437573,12.630865269718122,12.652306897818804,30.0,30.0,-0.080092145133694,MLP
56,2024-04-15 08:59:40.708984,10.0,12.3399458690629,-2.3399458690629,-2.772121665172289,46.300212665549566,-1.5960415243084127,12.49598768407688,12.630865269718122,30.0,30.0,0.0947863599678733,MLP
57,2024-04-15 08:59:41.217846,10.0,12.084570875361011,-2.0845708753610133,0.6875507898112758,44.700760398063984,-1.5994522674855798,12.3399458690629,12.49598768407688,30.0,30.0,-0.2826419758952134,MLP
58,2024-04-15 08:59:41.736715,10.0,11.827445251344969,-1.827445251344967,-2.514996041156243,43.09762478061514,-1.6031356174488391,12.084570875361011,12.3399458690629,30.0,30.0,-0.1186869894500191,MLP
59,2024-04-15 08:59:42.257983,10.0,11.4791804908586,-1.4791804908586013,1.0358155502976416,41.51611479908378,-1.5815099815313585,11.827445251344969,12.084570875361011,30.0,30.0,-0.2743289461379525,MLP
60,2024-04-15 08:59:42.751223,10.0,11.15605337313044,-1.1560533731304403,-2.191868923428082,40.37129259310998,-1.1448222059738011,11.4791804908586,11.827445251344969,30.0,30.0,0.2666653927269173,MLP
61,2024-04-15 08:59:43.270388,10.0,10.816455526268362,-0.8164555262683617,1.3754133971597202,39.71178490263461,-0.6595076904753644,11.15605337313044,11.4791804908586,30.0,30.0,0.1453209667586108,MLP
62,2024-04-15 08:59:43.770991,10.0,10.553249408373784,-0.5532494083737838,-1.928662805533504,39.520958275000936,-0.1908266276336731,10.816455526268362,11.15605337313044,30.0,30.0,0.065013561612659,MLP
63,2024-04-15 08:59:44.289087,10.0,10.299432446905517,-0.2994324469055165,1.6292303586279877,39.520958275000936,3.540223716687002e-18,10.553249408373784,10.816455526268362,30.0,30.0,0.2098181876243927,MLP
64,2024-04-15 08:59:44.798658,10.0,10.130763240573764,-0.1307632405737635,-1.759993599201751,39.520958275000936,1.5885171734611982e-17,10.299432446905517,10.553249408373784,30.0,30.0,0.0508933396673896,MLP
65,2024-04-15 08:59:45.317681,10.0,9.957279082228515,0.0427209177714829,1.802714516973234,39.520958275000936,1.6545822315725016e-17,10.130763240573764,10.299432446905517,30.0,30.0,-0.1497447870530024,MLP
66,2024-04-15 08:59:45.822105,10.0,9.855289774788092,0.1447102252119076,-1.6580042917613262,39.520958275000936,3.612378408847709e-18,9.957279082228515,10.130763240573764,30.0,30.0,-0.0065546376739931,MLP
67,2024-04-15 08:59:46.328778,10.0,9.734820394060062,0.265179605939938,1.9231838977012643,39.520958275000936,1.1851448816445539e-17,9.855289774788092,9.957279082228515,30.0,30.0,-0.2243348436744625,MLP
68,2024-04-15 08:59:46.850332,10.0,9.67652210491998,0.3234778950800194,-1.5997060026212448,39.520958275000936,3.472274550116857e-18,9.734820394060062,9.855289774788092,30.0,30.0,-0.2331931341801016,MLP
69,2024-04-15 08:59:47.356150,10.0,9.590316497639607,0.4096835023603926,2.009389504981637,39.520958275000936,-2.710034834921167e-18,9.67652210491998,9.734820394060062,30.0,30.0,-0.0354428260356556,MLP
70,2024-04-15 08:59:47.863275,10.0,9.560582372332403,0.4394176276675949,-1.5699718773140423,39.520958275000936,3.4095453304458065e-18,9.590316497639607,9.67652210491998,30.0,30.0,0.1615418156343828,MLP
71,2024-04-15 08:59:48.370414,10.0,9.496420621479176,0.5035793785208238,2.0735512558348663,39.53533537113814,0.0143770961372023,9.560582372332403,9.590316497639607,30.0,30.0,-0.2953006039412926,MLP
72,2024-04-15 08:59:48.894012,10.0,9.486694418411922,0.513305581588078,-1.5602456742467885,39.64069798909547,0.105362617957335,9.496420621479176,9.560582372332403,30.0,30.0,0.1259262165405452,MLP
73,2024-04-15 08:59:49.417653,10.0,9.445919680002737,0.5540803199972633,2.1143259942440515,39.82491240491303,0.1842144158175595,9.486694418411922,9.496420621479176,30.0,30.0,0.0976094940765648,MLP
74,2024-04-15 08:59:49.965550,10.0,9.464610317609738,0.535389682390262,-1.5789363118537896,40.09106882422163,0.2661564193086012,9.445919680002737,9.486694418411922,30.0,30.0,0.2719260884671577,MLP
75,2024-04-15 08:59:50.433655,10.0,9.454697984307932,0.5453020156920676,2.124238327545857,40.2465666762108,0.1554978519891649,9.464610317609738,9.445919680002737,30.0,30.0,-0.0735637727006803,MLP
