iter	RMSE
561	0.1561667714
562	0.1561023269
563	0.1560316793
564	0.1559332485
565	0.1558780378
566	0.1556889147
567	0.1556064457
568	0.1554254939
569	0.1553458458
570	0.1552469247
571	0.1551693062
572	0.1551177042
573	0.1550400656
574	0.1549641514
575	0.1548717314
576	0.154796424
577	0.1547376529
578	0.1546855485
579	0.1545211515
580	0.1544438318
581	0.1544120173
582	0.1543423953
583	0.1542551552
584	0.1541824323
585	0.1541313412
586	0.1539597274
587	0.1537801308
588	0.15371577
589	0.1536622577
590	0.1535826203
591	0.1535013049
592	0.1534384886
593	0.1533578375
594	0.1532975757
595	0.1532135049
596	0.1531453324
597	0.1530871408
598	0.1530448793
599	0.1529640115
600	0.1529094992
601	0.152849478
602	0.1528179302
603	0.1527436268
604	0.1526712923
605	0.1526078038
606	0.1524532565
607	0.1524055999
608	0.1523386892
609	0.1523018003
610	0.1522318055
611	0.1520772967
612	0.1520379685
613	0.1519919201
614	0.1519341742
615	0.1518969871
616	0.1517415811
617	0.1516909559
618	0.1515528011
619	0.1515021797
620	0.1514672919
621	0.1514183773
622	0.1513549955
623	0.151317553
624	0.1512762902
625	0.1511289758
626	0.1510848604
627	0.151036022
628	0.150978117
629	0.1509358197
630	0.1508632774
631	0.1508165714
632	0.1506635018
633	0.150591686
634	0.1505286498
635	0.1503886016
636	0.150328494
637	0.1502903618
638	0.1502629954
639	0.1502220318
640	0.1501567205
641	0.1501085911
642	0.1500572494
643	0.1500112145
644	0.1499653697
645	0.1499031132
646	0.1498712211
647	0.1498330316
648	0.149783843
649	0.1497530311
650	0.1497018234
651	0.1496397616
652	0.1496050189
653	0.1495489117
654	0.1494014114
655	0.1493555493
656	0.1493249716
657	0.1491985059
658	0.1491666806
659	0.1491334031
660	0.1490749297
661	0.1490186556
662	0.1489617803
663	0.1489375327
664	0.1488917028
665	0.1488701523
666	0.148824183
667	0.1487669449
668	0.1487294712
669	0.1486775655
670	0.1486527302
671	0.1486026145
672	0.1485504866
673	0.1485083823
674	0.148473994
675	0.1484207478
676	0.1483700866
677	0.1483154063
678	0.1482758246
679	0.1482207585
680	0.1481779727
681	0.1481222418
682	0.1480931516
683	0.1480548351
684	0.1480290319
685	0.1479799024
686	0.1479540781
687	0.1479145997
688	0.1478829845
689	0.1478357865
690	0.1477796405
691	0.1477540199
692	0.1477008727
693	0.1476724599
694	0.1476395319
695	0.1475130853
696	0.1474641234
697	0.1474367156
698	0.1474013186
699	0.1473571057
700	0.1473313153
701	0.1472094587
702	0.1470778577
703	0.1470320453
704	0.1470022537
705	0.1469758967
706	0.1469288267
707	0.1468833712
708	0.1468481624
709	0.1468101367
710	0.1467721722
711	0.1467487518
712	0.1467258053
713	0.1467048463
714	0.1466620997
715	0.1466149437
716	0.1465906274
717	0.1465606566
718	0.1465337423
719	0.1464982795
720	0.1464501336
721	0.1464086685
722	0.1463606267
723	0.146245165
724	0.1462085386
725	0.1461805516
726	0.1461362664
727	0.1460889991
728	0.1460568854
729	0.1460435612
730	0.1460015543
731	0.145975845
732	0.1459332824
733	0.1458873643
734	0.1458579664
735	0.1458125544
736	0.1457861225
737	0.145769402
738	0.145733267
739	0.1456286693
740	0.1455907024
741	0.1455630598
742	0.1455328954
743	0.1454938834
744	0.1454496538
745	0.1454282162
746	0.1453109147
747	0.1452768129
748	0.145243383
749	0.1452102871
750	0.1451859438
751	0.1451480551
752	0.1451100725
753	0.1450045016
754	0.1448936798
755	0.1448512052
756	0.1448244957
757	0.144793488
758	0.1447630333
759	0.1447422037
760	0.1446408046
761	0.1445998809
762	0.1445602694
763	0.1445289972
764	0.144512769
765	0.1444928843
766	0.1444679761
767	0.1443749885
768	0.1443510668
769	0.1443289627
770	0.1442954404
771	0.1442704992
772	0.1442479331
773	0.1442124967
774	0.1441813513
775	0.1440812516
776	0.1440576575
777	0.144023292
778	0.1439892866
779	0.1438881715
780	0.1438497083
781	0.1438175477
782	0.1437799135
783	0.1437569035
784	0.1437286727
785	0.1437054812
786	0.1436856195
787	0.1436571323
788	0.143634824
789	0.1436089497
790	0.1435859711
791	0.1435600298
792	0.1435316743
793	0.1434954834
794	0.1434787328
795	0.1434436723
796	0.1434173126
797	0.1433835273
798	0.1433584127
799	0.1433274377
800	0.1433055955
801	0.1432870433
802	0.1432585955
803	0.1432386463
804	0.1432051308
805	0.1431750328
806	0.1431425349
807	0.1431202855
808	0.1431018325
809	0.1430735381
810	0.1430460498
811	0.1430290407
812	0.1430064298
813	0.1429859985
814	0.1429587877
815	0.1429327147
816	0.1429150459
817	0.1428985104
818	0.1428813148
819	0.1428662702
820	0.1428244591
821	0.1427970381
822	0.1427727452
823	0.1427490351
824	0.142724076
825	0.142702234
826	0.1426693836
827	0.1426470764
828	0.1426044047
829	0.1425783073
830	0.1425593939
831	0.1425392492
832	0.1425132115
833	0.1424965388
834	0.1424729857
835	0.1424547704
836	0.142427155
837	0.1424069798
838	0.1423755002
839	0.1423663532
840	0.1423435621
841	0.1423127744
842	0.1422870549
843	0.1422004135
844	0.1421774036
845	0.1421554272
846	0.142141221
847	0.1421097549
848	0.1420882633
849	0.1420492235
850	0.1420333276
851	0.1419921089
852	0.1419729627
853	0.1419418196
854	0.1419256899
855	0.1418409063
856	0.1418039353
857	0.1417839609
858	0.1417578521
859	0.1417283448
860	0.1417124983
861	0.1416849538
862	0.1416658993
863	0.1416453443
864	0.1416222971
865	0.1416014551
866	0.1415818452
867	0.1415588285
868	0.1415441974
869	0.1415258512
870	0.1415063283
871	0.1414162327
872	0.1413918563
873	0.1413767258
874	0.1412949696
875	0.1412794927
876	0.1412622952
877	0.141250149
878	0.1411706968
879	0.1411478357
880	0.1411229925
881	0.1411004846
882	0.1410792509
883	0.1410645605
884	0.1410361417
885	0.1410145286
886	0.1409907934
887	0.1409644195
888	0.1409373879
889	0.1409184869
890	0.1408350456
891	0.1408106686
892	0.1407923323
893	0.1407658747
894	0.1406805284
895	0.1406589229
896	0.1406419983
897	0.1406233462
898	0.1406041167
899	0.1405798383
900	0.1405499611
901	0.140530865
902	0.1405106855
903	0.1404861719
904	0.1404685777
905	0.1404514496
906	0.1404318722
907	0.140410607
908	0.1403939798
909	0.1403733571
910	0.1403542643
911	0.1403425647
912	0.1403214659
913	0.1403035831
914	0.1402796936
915	0.1402590234
916	0.1402347337
917	0.140227354
918	0.1402164282
919	0.1401908885
920	0.1401705177
921	0.1401528514
922	0.140129314
923	0.1401054396
924	0.1400885972
925	0.1400707785
926	0.1400536848
927	0.140041348
928	0.140025703
929	0.1400047254
930	0.1399856552
931	0.1399704977
932	0.1398967444
933	0.1398738768
934	0.1398643865
935	0.1398498553
936	0.1398237767
937	0.1398030178
938	0.139783124
939	0.1397635517
940	0.1397451145
941	0.1397212818
942	0.139703394
943	0.1396829674
944	0.1396666767
945	0.1396299169
946	0.1396096358
947	0.1395894979
948	0.1395155696
949	0.139497326
950	0.1394866734
951	0.1394705358
952	0.1394477851
953	0.1394251377
954	0.1394145518
955	0.1393980692
956	0.1393760253
957	0.13936325
958	0.1393429273
959	0.1393235621
960	0.1393023051
961	0.1392816505
962	0.1392762661
963	0.1392558782
964	0.1392236683
965	0.1392066777
966	0.1391961451
967	0.1391785925
968	0.1391605206
969	0.139144319
970	0.1391285156
971	0.1391065264
972	0.1390869221
973	0.1390640653
974	0.1390470934
975	0.1390297392
976	0.13901249
977	0.1389957461
978	0.13898504
979	0.1389675005
980	0.1389572828
981	0.1389353383
982	0.1389243743
983	0.1389074594
984	0.1388894486
985	0.1388742586
986	0.1388306052
987	0.1387595915
988	0.1387280733
989	0.138714575
990	0.1386976372
991	0.1386765331
992	0.1386662856
993	0.1386511283
994	0.1386348057
995	0.1386239669
996	0.1385996916
997	0.138530565
998	0.1385218458
999	0.1385009904
