iter	Passed	Remaining
486	645	679
487	646	677
488	647	676
489	648	675
490	650	673
491	651	672
492	652	671
493	653	669
494	654	668
495	656	666
496	657	665
497	658	663
498	659	662
499	660	660
500	662	659
501	663	657
502	664	656
503	665	655
504	667	654
505	668	652
506	669	651
507	670	649
508	672	648
509	673	646
510	674	645
511	675	644
512	677	642
513	678	641
514	679	640
515	681	638
516	682	637
517	683	636
518	685	634
519	686	633
520	687	632
521	688	630
522	690	629
523	691	628
524	692	626
525	693	625
526	695	624
527	697	623
528	698	622
529	700	620
530	701	619
531	702	618
532	704	616
533	705	615
534	706	614
535	707	612
536	709	611
537	710	610
538	712	609
539	714	608
540	715	607
541	716	605
542	718	604
543	719	603
544	720	601
545	721	600
546	722	598
547	724	597
548	725	596
549	728	595
550	729	594
551	730	593
552	732	591
553	733	590
554	734	589
555	736	587
556	737	586
557	738	584
558	739	583
559	741	582
560	743	581
561	744	580
562	745	579
563	747	577
564	748	576
565	749	574
566	751	573
567	752	572
568	753	570
569	754	569
570	756	568
571	757	566
572	759	566
573	760	564
574	762	563
575	763	561
576	764	560
577	765	559
578	767	557
579	768	556
580	769	554
581	771	553
582	773	552
583	774	551
584	775	550
585	776	548
586	778	547
587	779	546
588	780	544
589	781	543
590	783	542
591	784	540
592	785	539
593	787	538
594	788	536
595	789	535
596	791	534
597	792	532
598	793	531
599	795	530
600	796	528
601	797	527
602	798	525
603	800	524
604	801	523
605	803	522
606	804	520
607	805	519
608	807	518
609	808	516
610	809	515
611	810	514
612	811	512
613	813	511
614	814	509
615	816	508
616	818	507
617	819	506
618	820	505
619	822	503
620	823	502
621	824	500
622	825	499
623	826	498
624	828	496
625	829	495
626	830	494
627	832	493
628	833	491
629	834	490
630	835	488
631	837	487
632	838	486
633	839	484
634	840	483
635	842	481
636	843	480
637	844	479
638	846	477
639	847	476
640	849	475
641	850	474
642	851	472
643	853	471
644	854	470
645	855	468
646	856	467
647	858	466
648	859	464
649	860	463
650	861	461
651	863	460
652	864	459
653	865	457
654	866	456
655	867	455
656	869	453
657	870	452
658	871	450
659	872	449
660	874	448
661	875	446
662	876	445
663	877	444
664	879	442
665	880	441
666	881	440
667	882	438
668	884	437
669	885	436
670	886	434
671	887	433
672	888	431
673	890	430
674	891	429
675	892	427
676	894	426
677	895	425
678	896	423
679	897	422
680	898	421
681	900	419
682	901	418
683	902	416
684	903	415
685	904	414
686	906	412
687	907	411
688	908	410
689	910	408
690	911	407
691	912	406
692	913	404
693	914	403
694	916	402
695	917	400
696	918	399
697	919	397
698	921	396
699	922	395
700	923	393
701	924	392
702	926	391
703	927	389
704	928	388
705	929	387
706	931	385
707	932	384
708	933	383
709	934	381
710	936	380
711	937	379
712	938	377
713	939	376
714	940	375
715	942	373
716	943	372
717	944	371
718	945	369
719	947	368
720	948	366
721	949	365
722	950	364
723	951	362
724	953	361
725	954	360
726	955	358
727	957	357
728	958	356
729	959	354
730	960	353
731	962	352
732	963	350
733	964	349
734	966	348
735	967	346
736	968	345
737	970	344
738	971	343
739	972	341
740	974	340
741	975	339
742	976	337
743	978	336
744	979	335
745	980	333
746	982	332
747	983	331
748	984	330
749	986	328
750	987	327
751	988	326
752	990	324
753	991	323
754	992	322
755	993	320
756	995	319
757	996	318
758	997	316
759	998	315
760	1000	314
761	1001	312
762	1002	311
763	1003	310
764	1005	308
765	1006	307
766	1007	306
767	1008	304
768	1010	303
769	1011	302
770	1012	300
771	1013	299
772	1015	298
773	1016	296
774	1017	295
775	1018	294
776	1020	292
777	1021	291
778	1022	290
779	1023	288
780	1024	287
781	1026	286
782	1027	284
783	1028	283
784	1029	282
785	1031	280
786	1032	279
787	1033	278
788	1034	276
789	1036	275
790	1037	274
791	1038	272
792	1039	271
793	1041	270
794	1042	268
795	1043	267
796	1045	266
797	1046	264
798	1047	263
799	1049	262
800	1050	260
801	1051	259
802	1053	258
803	1054	257
804	1055	255
805	1056	254
806	1057	253
807	1059	251
808	1061	250
809	1062	249
810	1064	247
811	1065	246
812	1066	245
813	1067	243
814	1068	242
815	1070	241
816	1071	239
817	1072	238
818	1073	237
819	1075	236
820	1077	234
821	1078	233
822	1079	232
823	1081	230
824	1082	229
825	1083	228
826	1084	226
827	1085	225
828	1087	224
829	1088	222
830	1089	221
831	1091	220
832	1092	219
833	1094	217
834	1095	216
835	1096	215
836	1098	213
837	1099	212
838	1100	211
839	1101	209
840	1103	208
841	1104	207
842	1105	205
843	1107	204
844	1108	203
845	1109	202
846	1111	200
847	1112	199
848	1113	198
849	1114	196
850	1115	195
851	1117	194
852	1118	192
853	1119	191
854	1121	190
855	1122	188
856	1123	187
857	1125	186
858	1126	184
859	1127	183
860	1128	182
861	1129	180
862	1131	179
863	1132	178
864	1133	176
865	1134	175
866	1136	174
867	1137	173
868	1139	171
869	1140	170
870	1141	169
871	1142	167
872	1143	166
873	1145	165
874	1146	163
875	1147	162
876	1148	161
877	1150	159
878	1151	158
879	1153	157
880	1154	155
881	1155	154
882	1156	153
883	1157	151
884	1159	150
885	1160	149
886	1161	147
887	1162	146
888	1164	145
889	1165	144
890	1167	142
891	1168	141
892	1169	140
893	1171	138
894	1172	137
895	1173	136
896	1174	134
897	1175	133
898	1177	132
899	1178	130
900	1179	129
901	1180	128
902	1182	127
903	1183	125
904	1184	124
905	1186	123
906	1187	121
907	1188	120
908	1189	119
909	1191	117
910	1192	116
911	1193	115
912	1195	113
913	1196	112
914	1198	111
915	1199	109
916	1200	108
917	1202	107
918	1203	106
919	1204	104
920	1205	103
921	1207	102
922	1208	100
923	1209	99
924	1210	98
925	1213	96
926	1214	95
927	1215	94
928	1217	93
929	1218	91
930	1219	90
931	1221	89
932	1222	87
933	1224	86
934	1225	85
935	1227	83
936	1229	82
937	1230	81
938	1232	80
939	1233	78
940	1234	77
941	1236	76
942	1237	74
943	1239	73
944	1240	72
945	1243	70
946	1244	69
947	1246	68
948	1247	67
949	1248	65
950	1250	64
951	1251	63
952	1253	61
953	1254	60
954	1255	59
955	1257	57
956	1259	56
957	1260	55
958	1261	53
959	1262	52
960	1264	51
961	1265	49
962	1270	48
963	1271	47
964	1273	46
965	1275	44
966	1277	43
967	1278	42
968	1279	40
969	1281	39
970	1282	38
971	1284	36
972	1285	35
973	1287	34
974	1289	33
975	1290	31
976	1291	30
977	1293	29
978	1294	27
979	1295	26
980	1297	25
981	1298	23
982	1299	22
983	1301	21
984	1302	19
985	1304	18
986	1306	17
987	1307	15
988	1308	14
989	1309	13
990	1311	11
991	1312	10
992	1313	9
993	1314	7
994	1316	6
995	1318	5
996	1319	3
997	1321	2
998	1322	1
999	1323	0
