POTENCIA(K+1),POTENCIA(K+2),previsto K+1 relu,previsto K+2 relu,previsto K+1 sigmoid,previsto K+2 sigmoid
16.7000007629395,16.8999996185303,10.5,16.588642,16.315437,16.4414
19.6000003814697,19.2000007629395,10.5,19.75729,19.413086,19.450354
19.8999996185303,19.7000007629395,10.5,19.953083,19.91829,19.944628
20.0,18.6000003814697,10.5,18.868275,18.570244,18.65521
18.6000003814697,18.1000003814697,10.5,18.509235,18.281984,18.347204
23.3999996185303,23.0,10.5,22.654995,22.501907,22.350103
22.2999992370605,21.8999996185303,10.5,22.460537,22.417715,22.27714
18.5,18.5,10.5,18.49719,18.017605,18.11137
18.5,17.5,10.5,17.824543,17.419207,17.546165
20.2000007629395,19.3999996185303,10.5,19.347197,18.993889,19.053658
19.6000003814697,21.8999996185303,10.5,22.094872,22.242882,22.127338
20.2999992370605,20.3999996185303,10.5,20.483116,20.055544,20.07187
13.6999998092651,13.3000001907349,10.5,15.394863,15.051634,15.251667
19.8999996185303,19.7000007629395,10.5,19.953083,19.91829,19.944628
18.7999992370605,19.3999996185303,10.5,19.081457,19.37326,19.4523
13.1000003814697,13.3999996185303,10.5,14.5966015,14.475794,14.666984
23.7999992370605,24.1000003814697,10.5,23.253387,23.014706,22.800024
20.7999992370605,20.2000007629395,10.5,19.48182,19.679108,19.765226
18.2000007629395,18.5,10.5,18.30799,17.82173,17.916426
18.5,18.6000003814697,10.5,19.089355,18.698973,18.811802
18.1000003814697,19.25,10.5,18.718922,18.449879,18.507685
22.0,22.7000007629395,10.5,21.978739,21.974062,21.851118
20.5,21.2999992370605,10.5,20.803516,20.214462,20.205564
23.3999996185303,23.3999996185303,10.5,22.342089,22.260788,22.119322
21.2999992370605,22.2000007629395,10.5,22.512972,21.766003,21.64311
23.7999992370605,23.7999992370605,10.5,23.105738,22.854782,22.655888
22.7000007629395,18.5,10.5,22.711628,22.688948,22.511118
18.1000003814697,18.1000003814697,10.5,17.112162,16.910065,17.004534
17.1000003814697,17.2999992370605,10.5,17.254702,16.724707,16.831224
22.7000007629395,22.2000007629395,10.5,22.050734,21.974506,21.857222
15.378947634446,15.1789475240205,10.5,16.645218,16.253199,16.403185
22.8999996185303,22.2999992370605,10.5,22.277027,22.28387,22.147575
16.5,16.2999992370605,10.5,17.508663,17.239168,17.366125
18.3999996185303,19.1000003814697,10.5,19.374428,19.104519,19.190895
17.928947574214,17.0268415651823,10.5,18.32498,18.171284,18.219778
17.3999996185303,18.5,10.5,17.53856,17.099396,17.201717
23.7999992370605,24.0,10.5,22.908735,22.542421,22.36882
21.1000003814697,21.0,10.5,20.902964,20.938263,20.884825
18.6000003814697,19.7000007629395,10.5,19.523285,19.220724,19.25207
20.1000003814697,21.2999992370605,10.5,20.17211,20.217163,20.21266
15.3000001907349,15.3999996185303,10.5,15.308244,15.125346,15.2824
21.8999996185303,20.3999996185303,10.5,21.017113,20.732656,20.786674
16.7000007629395,17.1000003814697,10.5,16.24934,16.012274,16.1695
21.7000007629395,20.2999992370605,10.5,21.198992,21.172611,21.094725
19.0,19.8999996185303,10.5,19.699797,19.495434,19.516266
20.7999992370605,20.6000003814697,10.5,20.657784,20.738234,20.695375
17.5,18.2000007629395,10.5,18.489227,18.1151,18.201002
